烟花_舟山,,,,,,,,
时间1,实测,时间2,迭代次数1,迭代次数2,迭代次数3,迭代次数4,迭代次数5,
2021/7/21 0:00,3.29643,2021/7/15 8:00,0.02967,0.02906364,0.030298746,0.028889912,0.028349996,
2021/7/21 1:00,3.01964,2021/7/15 9:00,0.06241,0.059615058,0.063289613,0.064104145,0.060426186,
2021/7/21 2:00,3.44618,2021/7/15 10:00,0.09555,0.097735722,0.095467307,0.097174835,0.096441178,
2021/7/21 3:00,3.04686,2021/7/15 11:00,0.12248,0.116186785,0.123251753,0.116812316,0.118725436,
2021/7/21 4:00,3.26921,2021/7/15 12:00,0.14412,0.138607288,0.144046297,0.138058353,0.146837591,
2021/7/21 5:00,3.04686,2021/7/15 13:00,0.16777,0.167055283,0.166776702,0.164693346,0.170826132,
2021/7/21 6:00,2.84721,2021/7/15 14:00,0.18873,0.179696213,0.193929724,0.185029837,0.188259754,
2021/7/21 7:00,3.44618,2021/7/15 15:00,0.21399,0.206127858,0.214794627,0.20155998,0.220203706,
2021/7/21 8:00,3.26921,2021/7/15 16:00,0.24336,0.242302635,0.236483275,0.249127292,0.233269095,
2021/7/21 9:00,3.26921,2021/7/15 17:00,0.27467,0.271358666,0.2606668,0.257737713,0.282165623,
2021/7/21 10:00,3.29643,2021/7/15 18:00,0.30654,0.286463583,0.295251104,0.305342553,0.29761662,
2021/7/21 11:00,3.06955,2021/7/15 19:00,0.34193,0.330343891,0.320184161,0.336189234,0.330215718,
2021/7/21 12:00,3.49609,2021/7/15 20:00,0.37019,0.358122637,0.360401904,0.356273305,0.359556658,
2021/7/21 13:00,3.09678,2021/7/15 21:00,0.40189,0.414653639,0.381235799,0.388181929,0.416071295,
2021/7/21 14:00,3.26921,2021/7/15 22:00,0.42867,0.411179228,0.419869014,0.421397478,0.440700184,
2021/7/21 15:00,2.94703,2021/7/15 23:00,0.45516,0.429123325,0.4228044,0.438996382,0.434508779,
2021/7/21 16:00,2.81998,2021/7/16 0:00,0.48359,0.47548816,0.471583505,0.498762707,0.471143115,
2021/7/21 17:00,3.09678,2021/7/16 1:00,0.52239,0.535303797,0.53383285,0.517038971,0.503402359,
2021/7/21 18:00,3.26921,2021/7/16 2:00,0.56486,0.522005267,0.578470553,0.551428386,0.559326537,
2021/7/21 19:00,3.42349,2021/7/16 3:00,0.60032,0.611112347,0.590420268,0.618991517,0.574096794,
2021/7/21 20:00,3.14669,2021/7/16 4:00,0.61564,0.5631365,0.619938848,0.589150442,0.629793028,
2021/7/21 21:00,3.39626,2021/7/16 5:00,0.62006,0.566070139,0.603608176,0.628255503,0.633933589,
2021/7/21 22:00,3.26921,2021/7/16 6:00,0.60893,0.605215079,0.621829715,0.574772709,0.577710013,
2021/7/22 0:00,3.42349,2021/7/16 7:00,0.58174,0.560987131,0.553421579,0.590922767,0.582243343,
2021/7/22 1:00,3.64584,2021/7/16 8:00,0.54875,0.516140088,0.510524544,0.532210469,0.548535504,
2021/7/22 2:00,3.89541,2021/7/16 9:00,0.51937,0.523235106,0.523912578,0.489402641,0.483687209,
2021/7/22 3:00,3.21929,2021/7/16 10:00,0.49695,0.48685696,0.470839127,0.504312412,0.476390028,
2021/7/22 4:00,3.4734,2021/7/16 11:00,0.47643,0.444829197,0.475160565,0.481553764,0.493824454,
2021/7/22 5:00,3.26921,2021/7/16 12:00,0.45949,0.465814495,0.434714715,0.471724327,0.428280236,
2021/7/22 6:00,3.06955,2021/7/16 13:00,0.44536,0.451345413,0.414878962,0.434057582,0.425756416,
2021/7/22 7:00,3.52332,2021/7/16 14:00,0.43287,0.425791566,0.40338008,0.418522361,0.446125856,
2021/7/22 8:00,3.52332,2021/7/16 15:00,0.42188,0.418818613,0.419605463,0.395969224,0.39065304,
2021/7/22 9:00,3.57323,2021/7/16 16:00,0.40934,0.374693045,0.407704719,0.401593791,0.399608333,
2021/7/22 10:00,4.14952,2021/7/16 17:00,0.40071,0.401418861,0.388060164,0.396816656,0.369135864,
2021/7/22 11:00,3.92263,2021/7/16 18:00,0.3995,0.375026958,0.412565142,0.39097476,0.361959729,
2021/7/22 12:00,3.39626,2021/7/16 19:00,0.42101,0.40087139,0.393442126,0.415553543,0.397967058,
2021/7/22 13:00,3.62315,2021/7/16 20:00,0.45005,0.419709171,0.428376168,0.444105387,0.452132715,
2021/7/22 14:00,3.54601,2021/7/16 21:00,0.47485,0.470385793,0.484351944,0.462173772,0.465656156,
2021/7/22 15:00,3.19661,2021/7/16 22:00,0.48966,0.493196482,0.447012984,0.472909617,0.488480673,
2021/7/22 16:00,3.37358,2021/7/16 23:00,0.49328,0.454030675,0.479589214,0.44807196,0.495548813,
2021/7/22 17:00,3.31912,2021/7/17 0:00,0.50439,0.48461346,0.463900335,0.493037202,0.487514789,
2021/7/22 18:00,3.24652,2021/7/17 1:00,0.51562,0.507911268,0.506136146,0.509428986,0.496896856,
2021/7/22 19:00,2.81998,2021/7/17 2:00,0.5156,0.511769115,0.538650323,0.491349919,0.524282888,
2021/7/22 20:00,3.86989,2021/7/17 3:00,0.51559,0.525984,0.497978047,0.512625271,0.497114066,
2021/7/22 21:00,4.06955,2021/7/17 4:00,0.51406,0.529771284,0.531035839,0.481075279,0.512168321,
2021/7/22 22:00,4.14669,2021/7/17 5:00,0.51159,0.518239326,0.474795035,0.520774452,0.534276149,
2021/7/22 23:00,4.11929,2021/7/17 6:00,0.50575,0.494202183,0.509928326,0.460346111,0.529022533,
2021/7/22 23:30,3.29643,2021/7/17 7:00,0.50555,0.475499975,0.525877236,0.52047373,0.513006005,
2021/7/23 0:00,3.65721,2021/7/17 8:00,0.50773,0.504694937,0.505698218,0.481386138,0.51420477,
2021/7/23 1:00,3.61954,2021/7/17 9:00,0.51443,0.513722089,0.494165954,0.503830571,0.477219177,
2021/7/23 2:00,3.48773,2021/7/17 10:00,0.51601,0.510056278,0.467347657,0.524813866,0.493638764,
2021/7/23 3:00,3.41241,2021/7/17 11:00,0.51671,0.492641865,0.496114119,0.537609549,0.519157589,
2021/7/23 4:00,3.24293,2021/7/17 12:00,0.51684,0.54032605,0.518219393,0.513836594,0.506365593,
2021/7/23 5:00,4.12601,2021/7/17 13:00,0.5177,0.513031906,0.517837361,0.499055972,0.474092513,
2021/7/23 6:00,4.08835,2021/7/17 14:00,0.51246,0.481562215,0.477800008,0.469338567,0.533192418,
2021/7/23 7:00,4.03185,2021/7/17 15:00,0.50511,0.516751957,0.467667848,0.461652438,0.494890503,
2021/7/23 8:00,3.86238,2021/7/17 16:00,0.50196,0.491851344,0.518826121,0.513632747,0.481676476,
2021/7/23 9:00,3.84355,2021/7/17 17:00,0.51108,0.493689538,0.490711049,0.473462334,0.491720208,
2021/7/23 10:00,4.12601,2021/7/17 18:00,0.52598,0.479557132,0.499875669,0.48187476,0.512754278,
2021/7/23 11:00,4.63641,2021/7/17 19:00,0.53972,0.487809318,0.504721103,0.562852296,0.560802751,
