灿鸿_温州,,,,,,,
时间1,实测,时间2,迭代次数1,迭代次数2,迭代次数3,迭代次数4,迭代次数5
2021/7/8 1:00,1.70034,2021/7/7 1:00,1.305105,1.243426368,1.233827894,1.250252656,1.284120704
2021/7/8 2:00,1.84456,2021/7/7 2:00,1.38411,1.33829129,1.318067333,1.330783056,1.385999052
2021/7/8 3:00,2.04233,2021/7/7 3:00,1.46178,1.486298928,1.546402864,1.526321457,1.486931525
2021/7/8 4:00,2.21539,2021/7/7 4:00,1.537755,1.567093788,1.604795048,1.586513621,1.548197429
2021/7/8 5:00,2.5821,2021/7/7 5:00,1.60968,1.656507342,1.617736436,1.63314547,1.695258871
2021/7/8 6:00,2.55738,2021/7/7 6:00,1.678335,1.696524233,1.7762835,1.615128305,1.743801582
2021/7/8 7:00,2.38432,2021/7/7 7:00,1.741545,1.821786603,1.770648599,1.742488654,1.77531292
2021/7/8 8:00,2.26483,2021/7/7 8:00,1.7889,1.71986314,1.700346666,1.756075025,1.770542557
2021/7/8 9:00,2.21539,2021/7/7 9:00,1.824615,1.849688554,1.931991232,1.87920478,1.931182577
2021/7/8 10:00,2.40905,2021/7/7 10:00,1.858605,1.947615665,1.894740282,1.893636966,2.039077068
2021/7/8 11:00,2.45849,2021/7/7 11:00,1.88403,1.960859684,1.997873833,1.937524941,1.933450749
2021/7/8 12:00,2.5821,2021/7/7 12:00,1.896765,1.825021249,1.835754938,1.788141322,1.833532848
2021/7/8 13:00,2.68099,2021/7/7 13:00,1.882095,1.935836337,2.008113281,1.913264517,1.92168028
2021/7/8 14:00,2.97354,2021/7/7 14:00,1.86468,1.86662299,1.924714852,1.848999595,1.958948449
2021/7/8 15:00,2.97354,2021/7/7 15:00,1.862565,1.926328674,1.969825731,1.967961271,1.88778998
2021/7/8 16:00,3.12187,2021/7/7 16:00,1.88148,1.793715146,1.826334481,1.742514208,1.817623018
2021/7/8 17:00,3.41854,2021/7/7 17:00,1.91967,1.946681899,1.890331558,1.998928078,2.032228533
