灿鸿_舟山,,,,,,,
时间1,实测,时间2,迭代次数1,迭代次数2,迭代次数3,迭代次数4,迭代次数5
2021/7/9 1:00,0.95587,2021/7/9 5:00,1.55605,1.547001216,1.517744406,1.479003054,1.53265724
2021/7/9 2:00,1.21198,2021/7/9 6:00,1.54027,1.531743535,1.541129323,1.538640833,1.5854104
2021/7/9 3:00,1.46809,2021/7/9 7:00,1.52504,1.499400486,1.520015733,1.473665877,1.545324955
2021/7/9 4:00,1.53467,2021/7/9 8:00,1.51055,1.53511104,1.601185711,1.608795814,1.613058728
2021/7/9 5:00,1.59614,2021/7/9 9:00,1.49631,1.45225951,1.449489321,1.457693956,1.51763888
2021/7/9 6:00,1.59614,2021/7/9 10:00,1.48238,1.495184285,1.476273155,1.440638953,1.482043268
2021/7/9 7:00,1.50394,2021/7/9 11:00,1.46852,1.39986383,1.474646081,1.512713921,1.482250833
2021/7/9 8:00,1.34003,2021/7/9 12:00,1.45491,1.445572954,1.498669935,1.412018445,1.374923087
2021/7/9 9:00,1.18125,2021/7/9 13:00,1.4413,1.374138621,1.352505414,1.261873419,1.297475692
2021/7/9 10:00,1.24271,2021/7/9 14:00,1.4276,1.371944425,1.342382012,1.331003981,1.323609142
2021/7/9 11:00,1.24271,2021/7/9 15:00,1.4136,1.329574316,1.401954874,1.374143826,1.355445887
2021/7/9 12:00,1.21198,2021/7/9 16:00,1.39947,1.396615303,1.342424189,1.310621503,1.351216405
2021/7/9 13:00,1.21198,2021/7/9 17:00,1.38516,1.377853087,1.379445612,1.434096399,1.388678662
2021/7/9 14:00,1.15051,2021/7/9 18:00,1.37058,1.402354396,1.38071711,1.323242975,1.399959681
2021/7/9 15:00,1.11466,2021/7/9 19:00,1.35566,1.388656717,1.45574015,1.475743876,1.551999317
2021/7/9 16:00,1.11466,2021/7/9 20:00,1.34037,1.343012196,1.384744887,1.395584084,1.373644391
2021/7/9 17:00,1.08392,2021/7/9 21:00,1.3247,1.308840965,1.336959664,1.358036854,1.374971201
2021/7/9 18:00,0.95587,2021/7/9 22:00,1.3087,1.296361197,1.315878738,1.297539314,1.288054135
2021/7/9 19:00,0.88928,2021/7/9 23:00,1.29244,1.339974284,1.377909709,1.409280948,1.431147495
2021/7/9 20:00,0.88928,2021/7/10 0:00,1.27608,1.266660248,1.225831591,1.193369499,1.144249083
2021/7/9 21:00,0.88928,2021/7/10 1:00,1.25982,1.172407182,1.163684274,1.117034008,1.216046473
2021/7/9 22:00,0.92514,2021/7/10 2:00,1.24396,1.175517196,1.284455298,1.227996212,1.163140473
2021/7/9 23:00,1.18125,2021/7/10 3:00,1.22876,1.247777906,1.236714892,1.295153034,1.40444877
2021/7/10 0:00,1.18125,2021/7/10 4:00,1.21426,1.229939213,1.176727292,1.226782932,1.29312302
2021/7/10 1:00,1.27857,2021/7/10 5:00,1.20033,1.201068594,1.191575981,1.103671405,1.187867754
2021/7/10 2:00,1.59614,2021/7/10 6:00,1.18706,1.185776155,1.17198292,1.095220244,1.130417196
2021/7/10 3:00,1.66273,2021/7/10 7:00,1.1745,1.169075162,1.089603128,0.969325994,1.082424476
2021/7/10 4:00,1.66273,2021/7/10 8:00,1.16263,1.198159603,1.221581154,1.254616815,1.273407321
2021/7/10 5:00,1.59614,2021/7/10 9:00,1.15133,1.193454122,1.142829245,1.177092628,1.298274955
2021/7/10 6:00,1.53467,2021/7/10 10:00,1.13999,1.214089066,1.258753893,1.251826243,1.384798998
2021/7/10 7:00,1.50394,2021/7/10 11:00,1.12919,0.998283917,0.934809286,0.905775422,0.907398629
2021/7/10 8:00,1.40662,2021/7/10 12:00,1.11903,1.073967377,1.059741487,1.11955184,1.217758515
2021/7/10 9:00,1.37589,2021/7/10 13:00,1.10976,1.0323914,0.974624941,1.042040195,1.021020339
2021/7/10 10:00,1.24271,2021/7/10 14:00,1.10188,1.108724086,1.077678171,1.06562935,1.176593252
2021/7/10 11:00,1.43735,2021/7/10 15:00,1.09645,0.999050234,0.980648654,0.982307688,0.982091222
2021/7/10 12:00,1.66273,2021/7/10 16:00,1.09464,1.123851119,1.181114091,1.255794798,1.360533645
2021/7/10 13:00,1.79078,2021/7/10 17:00,1.09421,1.017791169,1.049041497,0.999713743,0.964188012
2021/7/10 14:00,1.79078,2021/7/10 18:00,1.09346,1.155675717,1.244144818,1.301193612,1.420173469
2021/7/10 15:00,1.79078,2021/7/10 19:00,1.09228,0.987203786,1.059594024,0.985910286,0.9855294
2021/7/10 16:00,1.79078,2021/7/10 20:00,1.09124,1.04919573,1.008984298,0.947769295,1.069379756
2021/7/10 17:00,1.72931,2021/7/10 21:00,1.09283,1.007266722,1.03109378,1.045055088,0.998394013
2021/7/10 18:00,1.91883,2021/7/10 22:00,1.08263,1.056435438,1.136306907,1.032007001,1.009394826
2021/7/10 19:00,2.08274,2021/7/10 23:00,1.0756,1.01079979,1.061584929,1.092419892,1.212247135
2021/7/10 20:00,2.11348,2021/7/11 0:00,1.07087,0.998938504,0.985745701,0.9300353,0.860164225
2021/7/10 21:00,2.24153,2021/7/11 1:00,1.07462,1.017484764,0.966618661,1.035536888,1.018003777
