利奇马_温州,,,,,,,
时间1,实测,时间2,迭代次数1,迭代次数2,迭代次数3,迭代次数4,迭代次数5
2021/8/7 1:00,2.09542,2021/8/7 1:00,1.753822586,1.777364878,1.412225172,1.459065,1.459065
2021/8/7 2:00,2.18014,2021/8/7 2:00,1.84512247,1.812574333,1.51010494,1.489305,1.489305
2021/8/7 3:00,1.98246,2021/8/7 3:00,1.746204327,1.775742982,1.509948653,1.513245,1.513245
2021/8/7 4:00,1.72831,2021/8/7 4:00,1.646465186,1.637819163,1.564620371,1.54293,1.54293
2021/8/7 5:00,1.50239,2021/8/7 5:00,1.515405449,1.563433776,1.528420898,1.57176,1.57176
2021/8/7 6:00,2.20838,2021/8/7 6:00,1.919790896,1.849775042,1.631201792,1.59387,1.59387
2021/8/7 7:00,1.80306,2021/8/7 7:00,1.677826682,1.599215595,1.552593363,1.629435,1.629435
2021/8/7 8:00,1.87174,2021/8/7 8:00,1.728700748,1.670640167,1.585661495,1.65927,1.65927
2021/8/7 9:00,2.16436,2021/8/7 9:00,1.889983779,1.917212783,1.615607559,1.68468,1.68468
2021/8/7 10:00,1.94042,2021/8/7 10:00,1.795941786,1.734759602,1.651463572,1.721295,1.721295
2021/8/7 11:00,2.14644,2021/8/7 11:00,1.946789331,1.884968637,1.747138662,1.7574,1.7574
2021/8/7 12:00,2.31963,2021/8/7 12:00,2.070320888,2.062995652,1.821011775,1.79352,1.79352
2021/8/7 13:00,2.54357,2021/8/7 13:00,2.147158786,2.119341646,1.750747573,1.827255,1.827255
2021/8/7 14:00,2.59433,2021/8/7 14:00,2.229361383,2.239371723,1.864392767,1.896285,1.896285
2021/8/7 15:00,2.78245,2021/8/7 15:00,2.378838354,2.373145491,1.975226709,1.974405,1.974405
2021/8/7 16:00,2.71377,2021/8/7 16:00,2.377236127,2.383381932,2.040702254,2.068965,2.068965
2021/8/7 17:00,2.85112,2021/8/7 17:00,2.52011884,2.542327707,2.18911768,2.16312,2.16312
2021/8/7 18:00,2.97056,2021/8/7 18:00,2.564236954,2.545394751,2.157913909,2.2257,2.2257
2021/8/7 19:00,2.66301,2021/8/7 19:00,2.51563093,2.414221763,2.368251859,2.325225,2.325225
2021/8/7 20:00,2.42115,2021/8/7 20:00,2.38386041,2.339533022,2.346570821,2.409135,2.409135
2021/8/7 21:00,2.30171,2021/8/7 21:00,2.377721293,2.385833676,2.453732586,2.50206,2.50206
2021/8/7 22:00,2.50774,2021/8/7 22:00,2.567296295,2.572384409,2.626852589,2.606925,2.606925
2021/8/7 23:00,2.66301,2021/8/7 23:00,2.693955674,2.731249937,2.724901348,2.713875,2.713875
