利奇马_舟山,,,,,,,
时间1,实测,时间2,迭代次数1,迭代次数2,迭代次数3,迭代次数4,迭代次数5
2021/8/7 5:00,0.07246,2021/8/7 1:00,0.8665,0.897321113,0.813828885,0.8260267,0.9069733
2021/8/7 6:00,0.1862,2021/8/7 2:00,0.87308,0.859971473,0.902822731,0.912215675,0.833944325
2021/8/7 7:00,0.07246,2021/8/7 3:00,0.86819,0.796637196,0.827043046,0.801887302,0.934492698
2021/8/7 8:00,0.07246,2021/8/7 4:00,0.85432,0.788437105,0.826757556,0.834612578,0.874027422
2021/8/7 9:00,0.07246,2021/8/7 5:00,0.83429,0.868643989,0.867518643,0.873611036,0.794968964
2021/8/7 10:00,0.07246,2021/8/7 6:00,0.81379,0.827718257,0.784148875,0.852957969,0.774622031
2021/8/7 11:00,0.26202,2021/8/7 7:00,0.79685,0.774476298,0.725192554,0.76580987,0.82789013
2021/8/7 12:00,0.45503,2021/8/7 8:00,0.78799,0.761000358,0.740100922,0.76748019,0.80849981
2021/8/7 13:00,0.56877,2021/8/7 9:00,0.78693,0.757685797,0.834078779,0.830602727,0.743257273
2021/8/7 14:00,0.6446,2021/8/7 10:00,0.79005,0.841731494,0.723714345,0.833393447,0.746706553
2021/8/7 15:00,0.87208,2021/8/7 11:00,0.79449,0.765104425,0.791032124,0.78596587,0.80301413
2021/8/7 16:00,0.87208,2021/8/7 12:00,0.79193,0.697641144,0.700683375,0.739666934,0.844193066
2021/8/7 17:00,0.87208,2021/8/7 13:00,0.78754,0.719303453,0.842575986,0.801441472,0.773638528
2021/8/7 18:00,0.91344,2021/8/7 14:00,0.78713,0.787747673,0.819729515,0.781276845,0.792983155
2021/8/7 19:00,1.14091,2021/8/7 15:00,0.7966,0.746952246,0.831497308,0.818642895,0.774557105
2021/8/7 20:00,1.14091,2021/8/7 16:00,0.80984,0.761023005,0.835612611,0.865740807,0.753939193
2021/8/7 21:00,1.29257,2021/8/7 17:00,0.83079,0.763926227,0.736516341,0.842053112,0.819526888
2021/8/7 22:00,1.29257,2021/8/7 18:00,0.8561,0.832744178,0.855174964,0.807605982,0.904594018
2021/8/7 23:00,1.59932,2021/8/7 19:00,0.87567,0.914485238,0.853694292,0.863880414,0.887459586
2021/8/8 0:00,1.71305,2021/8/7 20:00,0.9,0.795480832,0.952597224,0.795555453,1.004444547
2021/8/8 1:00,1.63723,2021/8/7 21:00,0.93564,0.955611335,0.88408713,0.937787657,0.933492343
2021/8/8 2:00,1.63723,2021/8/7 22:00,0.98888,0.887640067,1.009779021,0.974099223,1.003660777
2021/8/8 3:00,1.77509,2021/8/7 23:00,1.05726,1.016801948,1.022069534,1.050196446,1.064323554
2021/8/8 4:00,1.85781,2021/8/8 0:00,1.12849,1.136468912,1.137530656,1.137182721,1.119797279
2021/8/8 5:00,1.90951,2021/8/8 1:00,1.19862,1.120808956,1.176558265,1.253814245,1.143425755
2021/8/8 6:00,1.93709,2021/8/8 2:00,1.26934,1.180097242,1.338849615,1.208691094,1.329988906
2021/8/8 7:00,2.09908,2021/8/8 3:00,1.34614,1.257092012,1.340887195,1.250338236,1.441941764
2021/8/8 8:00,2.17835,2021/8/8 4:00,1.41866,1.495287357,1.363069097,1.33179797,1.50552203
2021/8/8 9:00,2.2852,2021/8/8 5:00,1.49794,1.461252934,1.496827331,1.464608256,1.531271744
2021/8/8 10:00,2.52646,2021/8/8 6:00,1.57735,1.543232793,1.504775178,1.60737006,1.54732994
2021/8/8 11:00,2.52646,2021/8/8 7:00,1.66064,1.712614464,1.585376922,1.649404724,1.671875276
2021/8/8 12:00,2.47476,2021/8/8 8:00,1.73773,1.791336273,1.725443454,1.636659864,1.838800136
2021/8/8 13:00,2.39204,2021/8/8 9:00,1.81297,1.7961787,1.834347781,1.769035893,1.856904107
2021/8/8 14:00,2.50233,2021/8/8 10:00,1.89281,1.837003678,1.7925925,1.795452876,1.990167124
2021/8/8 15:00,2.68845,2021/8/8 11:00,1.97663,2.045343538,1.902239104,1.898318726,2.054941274
2021/8/8 16:00,2.87802,2021/8/8 12:00,2.07221,2.058511234,1.964592055,1.992409143,2.152010857
2021/8/8 17:00,3.09171,2021/8/8 13:00,2.17524,2.069608095,2.170580167,2.050310969,2.300169031
2021/8/8 18:00,3.14685,2021/8/8 14:00,2.29005,2.171227539,2.180077119,2.261820244,2.318279756
2021/8/8 19:00,3.22613,2021/8/8 15:00,2.41795,2.376511904,2.487688315,2.371195438,2.464704562
2021/8/8 20:00,3.28127,2021/8/8 16:00,2.52773,2.465076221,2.528535287,2.523783189,2.531676811
2021/8/8 21:00,3.19855,2021/8/8 17:00,2.62761,2.511753924,2.624967096,2.516328157,2.738891843
2021/8/8 22:00,3.14685,2021/8/8 18:00,2.74029,2.753257587,2.767583572,2.682005168,2.798574832
2021/8/8 23:00,3.3054,2021/8/8 19:00,2.83305,2.836983963,2.85739106,2.820530272,2.845569728
2021/8/9 0:00,3.41569,2021/8/8 20:00,2.92868,2.923873258,2.822852843,2.976550128,2.880809872
2021/8/9 1:00,3.49496,2021/8/8 21:00,3.01737,3.019524806,3.042244156,3.035683948,2.999056052
2021/8/9 2:00,3.62938,2021/8/8 22:00,3.10593,3.076032582,3.076165171,3.017573576,3.194286424
2021/8/9 3:00,3.8155,2021/8/8 23:00,3.20309,3.13788202,3.096825571,3.256515478,3.149664522
