烟花_舟山,,,,,,,,,,,,
时间1,实测,时间2,频谱4,频谱6,频谱8,频谱10,频谱12,,,,,
2021/7/21 0:00,3.29643,2021/7/15 8:00,0.02967,0.029403657,0.029962978,0.028809295,0.030243803,,,,,
2021/7/21 1:00,3.01964,2021/7/15 9:00,0.06241,0.06363127,0.061066603,0.065450001,0.060383333,,,,,
2021/7/21 2:00,3.44618,2021/7/15 10:00,0.09555,0.094897347,0.096267919,0.098118619,0.093837588,,,,,
2021/7/21 3:00,3.04686,2021/7/15 11:00,0.12248,0.118714946,0.126621559,0.124409075,0.12119395,,,,,
2021/7/21 4:00,3.26921,2021/7/15 12:00,0.14412,0.137760852,0.151115063,0.145645127,0.143103248,,,,,
2021/7/21 5:00,3.04686,2021/7/15 13:00,0.16777,0.162645939,0.173406467,0.178897243,0.160351838,,,,,
2021/7/21 6:00,2.84721,2021/7/15 14:00,0.18873,0.190358756,0.186938368,0.193620693,0.185469538,,,,,
2021/7/21 7:00,3.44618,2021/7/15 15:00,0.21399,0.212566428,0.215555929,0.22547766,0.20633156,,,,,
2021/7/21 8:00,3.26921,2021/7/15 16:00,0.24336,0.244007923,0.242647285,0.252545405,0.237236396,,,,,
2021/7/21 9:00,3.26921,2021/7/15 17:00,0.27467,0.265045797,0.285256624,0.290870246,0.263869836,,,,,
2021/7/21 10:00,3.29643,2021/7/15 18:00,0.30654,0.305694405,0.307470155,0.31458936,0.30117376,,,,,
2021/7/21 11:00,3.06955,2021/7/15 19:00,0.34193,0.329252572,0.355875171,0.354054651,0.3338469,,,,,
2021/7/21 12:00,3.49609,2021/7/15 20:00,0.37019,0.370121387,0.370265475,0.391797436,0.355785042,,,,,
2021/7/21 13:00,3.09678,2021/7/15 21:00,0.40189,0.398725199,0.405371281,0.420279877,0.389630082,,,,,
2021/7/21 14:00,3.26921,2021/7/15 22:00,0.42867,0.409076303,0.450223067,0.410114268,0.441040488,,,,,
2021/7/21 15:00,2.94703,2021/7/15 23:00,0.45516,0.440364317,0.471435251,0.453257555,0.456428297,,,,,
2021/7/21 16:00,2.81998,2021/7/16 0:00,0.48359,0.49395164,0.472192196,0.464972792,0.496001472,,,,,
2021/7/21 17:00,3.09678,2021/7/16 1:00,0.52239,0.506569305,0.539792764,0.503526846,0.534965436,,,,,
2021/7/21 18:00,3.26921,2021/7/16 2:00,0.56486,0.544679255,0.587058819,0.605619874,0.537686751,,,,,
2021/7/21 19:00,3.42349,2021/7/16 3:00,0.60032,0.603600812,0.596711107,0.589166191,0.607755873,,,,,
2021/7/21 20:00,3.14669,2021/7/16 4:00,0.61564,0.616127496,0.615103754,0.619469612,0.613086926,,,,,
2021/7/21 21:00,3.39626,2021/7/16 5:00,0.62006,0.634661452,0.603998403,0.664353946,0.590530703,,,,,
2021/7/21 22:00,3.26921,2021/7/16 6:00,0.60893,0.604328471,0.613991682,0.643577968,0.585831355,,,,,
2021/7/22 0:00,3.42349,2021/7/16 7:00,0.58174,0.58639647,0.576617883,0.586540562,0.578539625,,,,,
2021/7/22 1:00,3.64584,2021/7/16 8:00,0.54875,0.526562982,0.57315572,0.57171108,0.533442613,,,,,
