灿鸿_温州,,,,,,,,,,,,
时间1,实测,时间2,频谱4,频谱6,频谱8,频谱10,频谱12,,,,,
2021/7/8 1:00,1.70034,2021/7/7 1:00,1.305105,1.304838657,1.305424612,1.304812023,1.304439143,,,,,
2021/7/8 2:00,1.84456,2021/7/7 2:00,1.38411,1.38533127,1.382644476,1.385453397,1.387163175,,,,,
2021/7/8 3:00,2.04233,2021/7/7 3:00,1.46178,1.461127347,1.462563184,1.461062082,1.460148368,,,,,
2021/7/8 4:00,2.21539,2021/7/7 4:00,1.537755,1.533989946,1.542273065,1.533613441,1.528342365,,,,,
2021/7/8 5:00,2.5821,2021/7/7 5:00,1.60968,1.603320852,1.617310978,1.602684937,1.59378213,,,,,
2021/7/8 6:00,2.55738,2021/7/7 6:00,1.678335,1.673210939,1.684483873,1.672698533,1.665524848,,,,,
2021/7/8 7:00,2.38432,2021/7/7 7:00,1.741545,1.743173756,1.739590493,1.743336632,1.74561689,,,,,
2021/7/8 8:00,2.26483,2021/7/7 8:00,1.7889,1.787476428,1.790608286,1.787334071,1.78534107,,,,,
2021/7/8 9:00,2.21539,2021/7/7 9:00,1.824615,1.825262923,1.823837492,1.825327715,1.826234808,,,,,
2021/7/8 10:00,2.40905,2021/7/7 10:00,1.858605,1.848980797,1.870154044,1.848018377,1.834544493,,,,,
2021/7/8 11:00,2.45849,2021/7/7 11:00,1.88403,1.883184405,1.885044714,1.883099846,1.881916013,,,,,
2021/7/8 12:00,2.5821,2021/7/7 12:00,1.896765,1.884087572,1.911977914,1.882819829,1.86507143,,,,,
2021/7/8 13:00,2.68099,2021/7/7 13:00,1.882095,1.882026387,1.882177336,1.882019525,1.881923467,,,,,
2021/7/8 14:00,2.97354,2021/7/7 14:00,1.86468,1.861515199,1.868477761,1.861198719,1.856767998,,,,,
2021/7/8 15:00,2.97354,2021/7/7 15:00,1.862565,1.842971303,1.886077436,1.841011933,1.813580758,,,,,
2021/7/8 16:00,3.12187,2021/7/7 16:00,1.88148,1.866684317,1.89923482,1.865204749,1.844490793,,,,,
2021/7/8 17:00,3.41854,2021/7/7 17:00,1.91967,1.93003164,1.907236032,1.931067804,1.9455741,,,,,
2021/7/8 18:00,3.2702,2021/7/7 18:00,1.99116,1.975339305,2.010144834,1.973757236,1.951608263,,,,,
2021/7/8 19:00,2.87877,2021/7/7 19:00,2.05566,2.035479255,2.079876894,2.033461181,2.005208138,,,,,
2021/7/8 20:00,2.77988,2021/7/7 20:00,2.11218,2.115460812,2.108243026,2.115788893,2.12038203,,,,,
2021/7/8 21:00,2.339,2021/7/7 21:00,2.165565,2.166052496,2.164980005,2.166101246,2.16678374,,,,,
2021/7/8 22:00,2.31428,2021/7/7 22:00,2.234265,2.248866452,2.216743258,2.250326597,2.27076863,,,,,
2021/7/8 23:00,2.09178,2021/7/7 23:00,2.31849,2.313888471,2.324011835,2.313428318,2.306986178,,,,,
2021/7/9 0:00,1.94345,2021/7/8 0:00,2.401695,2.40635147,2.396107236,2.406817117,2.413336175,,,,,
2021/7/9 1:00,1.894,2021/7/8 1:00,2.489205,2.467017982,2.515829422,2.46479928,2.433737455,,,,,
2021/7/9 2:00,1.74979,2021/7/8 2:00,2.564895,2.576808366,2.550598961,2.577999703,2.594678415,,,,,
2021/7/9 3:00,1.70034,2021/7/8 3:00,2.655285,2.664208542,2.64457675,2.665100896,2.677593855,,,,,
2021/7/9 4:00,1.91872,2021/7/8 4:00,2.734785,2.715556878,2.757858746,2.713634066,2.686714695,,,,,
2021/7/9 5:00,2.01761,2021/7/8 5:00,2.783655,2.785432162,2.781522406,2.785609878,2.788097905,,,,,
2021/7/9 6:00,1.84456,2021/7/8 6:00,2.771535,2.764181858,2.78035877,2.763446544,2.753152145,,,,,
2021/7/9 7:00,1.84456,2021/7/8 7:00,2.734155,2.734943619,2.733208657,2.735022481,2.736126548,,,,,
2021/7/9 8:00,1.84456,2021/7/8 8:00,2.68218,2.67923925,2.6857089,2.678945175,2.674828125,,,,,
2021/7/9 9:00,1.72507,2021/7/8 9:00,2.63856,2.635393622,2.642359654,2.635076984,2.630644055,,,,,
2021/7/9 10:00,1.55201,2021/7/8 10:00,2.584755,2.583241521,2.586571175,2.583090173,2.580971303,,,,,
2021/7/9 11:00,1.47785,2021/7/8 11:00,2.55045,2.532550994,2.571928807,2.530761093,2.505702485,,,,,
2021/7/9 12:00,1.55201,2021/7/8 12:00,2.51949,2.505298444,2.536519867,2.503879288,2.48401111,,,,,
2021/7/9 13:00,1.35423,2021/7/8 13:00,2.5017,2.480272637,2.527412836,2.478129901,2.448131593,,,,,
2021/7/9 14:00,1.23474,2021/7/8 14:00,2.47629,2.475468403,2.477275916,2.475386243,2.474236008,,,,,
2021/7/9 15:00,1.16058,2021/7/8 15:00,2.460165,2.457977811,2.462789627,2.457759092,2.454697028,,,,,
2021/7/9 16:00,1.23474,2021/7/8 16:00,2.44068,2.436423966,2.445787241,2.435998363,2.430039915,,,,,
2021/7/9 17:00,1.25947,2021/7/8 17:00,2.422815,2.424859158,2.42036201,2.425063574,2.427925395,,,,,
2021/7/9 18:00,1.28419,2021/7/8 18:00,2.40819,2.422916347,2.390518384,2.424388982,2.445005868,,,,,
2021/7/9 19:00,1.23474,2021/7/8 19:00,2.397075,2.410902535,2.380481958,2.412285289,2.431643838,,,,,
2021/7/9 20:00,0.98752,2021/7/8 20:00,2.39097,2.402750821,2.376833015,2.403928903,2.420422053,,,,,
2021/7/9 21:00,0.78974,2021/7/8 21:00,2.386395,2.40118909,2.368642092,2.402668499,2.423380225,,,,,
2021/7/9 22:00,0.81447,2021/7/8 22:00,2.37777,2.383585709,2.370791149,2.38416728,2.392309273,,,,,
2021/7/9 23:00,1.06169,2021/7/8 23:00,2.3637,2.340621867,2.39139376,2.338314054,2.306004668,,,,,
2021/7/10 0:00,1.21002,2021/7/9 0:00,2.353965,2.34686863,2.362480644,2.346158993,2.336224075,,,,,
2021/7/10 1:00,1.32951,2021/7/9 1:00,2.339415,2.341810649,2.336540221,2.342050214,2.345404123,,,,,
2021/7/10 2:00,1.47785,2021/7/9 2:00,2.327025,2.322641334,2.332285399,2.322202967,2.316065835,,,,,
2021/7/10 3:00,1.47785,2021/7/9 3:00,2.311605,2.286515666,2.341712201,2.284006733,2.248881665,,,,,
2021/7/10 4:00,1.50257,2021/7/9 4:00,2.30265,2.299102768,2.306906678,2.298748045,2.29378192,,,,,
2021/7/10 5:00,1.62618,2021/7/9 5:00,2.300265,2.303549741,2.296323311,2.303878215,2.308476853,,,,,
2021/7/10 6:00,1.67562,2021/7/9 6:00,2.30262,2.298656962,2.307375646,2.298260658,2.292712405,,,,,
2021/7/10 7:00,1.84456,2021/7/9 7:00,2.30778,2.320676439,2.292304273,2.321966083,2.340021098,,,,,
2021/7/10 8:00,1.96817,2021/7/9 8:00,2.315475,2.329519556,2.298621533,2.330924012,2.35058639,,,,,
2021/7/10 9:00,2.04233,2021/7/9 9:00,2.324175,2.31926451,2.330067588,2.318773461,2.311898775,,,,,
2021/7/10 10:00,2.16595,2021/7/9 10:00,2.333355,2.335595967,2.33066584,2.335820064,2.338957418,,,,,
2021/7/10 11:00,2.19067,2021/7/9 11:00,2.341665,2.316892375,2.37139215,2.314415113,2.279733438,,,,,
2021/7/10 12:00,2.31428,2021/7/9 12:00,2.34924,2.352683553,2.345107736,2.353027908,2.357848883,,,,,
2021/7/10 13:00,2.339,2021/7/9 13:00,2.355495,2.369760862,2.338375966,2.371187448,2.391159655,,,,,
2021/7/10 14:00,2.43377,2021/7/9 14:00,2.36229,2.362734453,2.361756656,2.362778898,2.363401133,,,,,
2021/7/10 15:00,2.60682,2021/7/9 15:00,2.37108,2.356461578,2.388622106,2.354999736,2.334533945,,,,,
2021/7/10 16:00,2.87877,2021/7/9 16:00,2.371095,2.383601995,2.356086606,2.384852695,2.402362488,,,,,
2021/7/10 17:00,2.87877,2021/7/9 17:00,2.371065,2.358407813,2.386253624,2.357142094,2.339422033,,,,,
2021/7/10 18:00,2.82932,2021/7/9 18:00,2.3712,2.349561716,2.397165941,2.347397888,2.31710429,,,,,
2021/7/10 19:00,2.73044,2021/7/9 19:00,2.37168,2.376771297,2.365570444,2.377280427,2.384408243,,,,,
2021/7/10 20:00,2.77988,2021/7/9 20:00,2.372895,2.379528417,2.3649349,2.380191759,2.389478543,,,,,
2021/7/10 21:00,2.94881,2021/7/9 21:00,2.375145,2.387232546,2.360639945,2.388441301,2.405363865,,,,,
2021/7/10 22:00,3.02298,2021/7/9 22:00,2.377905,2.389844641,2.363577431,2.391038605,2.407754103,,,,,
2021/7/10 23:00,3.14659,2021/7/9 23:00,2.377875,2.377837397,2.377920124,2.377833637,2.377780993,,,,,
2021/7/11 0:00,3.31965,2021/7/10 0:00,2.3763,2.355340188,2.401451774,2.353244207,2.32390047,,,,,
2021/7/11 1:00,2.99826,2021/7/10 1:00,2.373585,2.356304855,2.394321174,2.354576841,2.330384638,,,,,
2021/7/11 2:00,2.75516,2021/7/10 2:00,2.369775,2.359283075,2.38236531,2.358233883,2.343545188,,,,,
2021/7/11 3:00,2.43377,2021/7/10 3:00,2.365035,2.356002862,2.375873566,2.355099648,2.342454655,,,,,
2021/7/11 4:00,2.53266,2021/7/10 4:00,2.359185,2.352814516,2.366829581,2.352177468,2.34325879,,,,,
2021/7/11 5:00,2.68099,2021/7/10 5:00,2.351985,2.341540428,2.364518486,2.340495971,2.32587357,,,,,
2021/7/11 6:00,3.17131,2021/7/10 6:00,2.34372,2.339515994,2.348764807,2.339095593,2.333209985,,,,,
2021/7/11 7:00,3.36909,2021/7/10 7:00,2.33409,2.336554012,2.331133186,2.336800413,2.34025003,,,,,
2021/7/11 8:00,3.36909,2021/7/10 8:00,2.32368,2.324296476,2.322940229,2.324358124,2.32522119,,,,,
2021/7/11 9:00,3.09715,2021/7/10 9:00,2.312985,2.319592029,2.305056565,2.320252732,2.329502573,,,,,
2021/7/11 10:00,2.94881,2021/7/10 10:00,2.30247,2.302466182,2.302474582,2.3024658,2.302460454,,,,,
2021/7/11 11:00,3.14659,2021/7/10 11:00,2.292135,2.280921271,2.305591475,2.279799898,2.264100678,,,,,
