灿鸿_舟山,,,,,,,,,,,,
时间1,实测,时间2,频谱4,频谱6,频谱8,频谱10,频谱12,,,,,
2021/7/9 1:00,0.95587,2021/7/9 5:00,1.55605,1.556369612,1.555757023,1.555916829,1.556103269,,,,,
2021/7/9 2:00,1.21198,2021/7/9 6:00,1.54027,1.538804476,1.541613397,1.540880635,1.540025746,,,,,
2021/7/9 3:00,1.46809,2021/7/9 7:00,1.52504,1.525823184,1.524322082,1.524713674,1.525170531,,,,,
2021/7/9 4:00,1.53467,2021/7/9 8:00,1.51055,1.515068065,1.506408441,1.508667473,1.511303011,,,,,
2021/7/9 5:00,1.59614,2021/7/9 9:00,1.49631,1.503940978,1.489314937,1.493130426,1.49758183,,,,,
2021/7/9 6:00,1.59614,2021/7/9 10:00,1.48238,1.488528873,1.476743533,1.47981797,1.483404812,,,,,
2021/7/9 7:00,1.50394,2021/7/9 11:00,1.46852,1.466565493,1.470311632,1.469334378,1.468194249,,,,,
2021/7/9 8:00,1.34003,2021/7/9 12:00,1.45491,1.456618286,1.453344071,1.454198214,1.455194714,,,,,
2021/7/9 9:00,1.18125,2021/7/9 13:00,1.4413,1.440522492,1.442012715,1.441623962,1.441170415,,,,,
2021/7/9 10:00,1.24271,2021/7/9 14:00,1.4276,1.439149044,1.417013377,1.422787899,1.429524841,,,,,
2021/7/9 11:00,1.24271,2021/7/9 15:00,1.4136,1.414614714,1.412669846,1.413177203,1.413769119,,,,,
2021/7/9 12:00,1.21198,2021/7/9 16:00,1.39947,1.414682914,1.385524829,1.393131286,1.402005486,,,,,
2021/7/9 13:00,1.21198,2021/7/9 17:00,1.38516,1.385242336,1.385084525,1.385125693,1.385173723,,,,,
2021/7/9 14:00,1.15051,2021/7/9 18:00,1.37058,1.374377761,1.367098719,1.3689976,1.37121296,,,,,
2021/7/9 15:00,1.11466,2021/7/9 19:00,1.35566,1.379172436,1.334106933,1.345863152,1.359578739,,,,,
2021/7/9 16:00,1.11466,2021/7/9 20:00,1.34037,1.35812482,1.324094749,1.332972159,1.343329137,,,,,
2021/7/9 17:00,1.08392,2021/7/9 21:00,1.3247,1.312266032,1.336097804,1.32988082,1.322627672,,,,,
2021/7/9 18:00,0.95587,2021/7/9 22:00,1.3087,1.327684834,1.291297236,1.300789653,1.311864139,,,,,
2021/7/9 19:00,0.88928,2021/7/9 23:00,1.29244,1.316656894,1.270241181,1.282349628,1.296476149,,,,,
2021/7/9 20:00,0.88928,2021/7/10 0:00,1.27608,1.272143026,1.279688893,1.277720406,1.275423838,,,,,
2021/7/9 21:00,0.88928,2021/7/10 1:00,1.25982,1.259235005,1.260356246,1.260063748,1.259722501,,,,,
2021/7/9 22:00,0.92514,2021/7/10 2:00,1.24396,1.226438258,1.260021597,1.251260726,1.24103971,,,,,
2021/7/9 23:00,1.18125,2021/7/10 3:00,1.22876,1.234281835,1.223698318,1.226459236,1.229680306,,,,,
2021/7/10 0:00,1.18125,2021/7/10 4:00,1.21426,1.208672236,1.219382117,1.216588235,1.213328706,,,,,
2021/7/10 1:00,1.27857,2021/7/10 5:00,1.20033,1.226954422,1.17592428,1.189236491,1.204767404,,,,,
2021/7/10 2:00,1.59614,2021/7/10 6:00,1.18706,1.172763961,1.200164703,1.193016683,1.184677327,,,,,
2021/7/10 3:00,1.66273,2021/7/10 7:00,1.1745,1.16379175,1.184315896,1.178961771,1.172715292,,,,,
2021/7/10 4:00,1.66273,2021/7/10 8:00,1.16263,1.185703746,1.141479066,1.153015939,1.166475624,,,,,
2021/7/10 5:00,1.59614,2021/7/10 9:00,1.15133,1.149197406,1.153284878,1.152218581,1.150974568,,,,,
2021/7/10 6:00,1.53467,2021/7/10 10:00,1.13999,1.14881377,1.131901544,1.136313429,1.141460628,,,,,
2021/7/10 7:00,1.50394,2021/7/10 11:00,1.12919,1.128243657,1.130057481,1.12958431,1.129032276,,,,,
2021/7/10 8:00,1.40662,2021/7/10 12:00,1.11903,1.1225589,1.115795175,1.117559625,1.11961815,,,,,
2021/7/10 9:00,1.37589,2021/7/10 13:00,1.10976,1.113559654,1.106276984,1.108176811,1.110393276,,,,,
2021/7/10 10:00,1.24271,2021/7/10 14:00,1.10188,1.103696175,1.100215173,1.101123261,1.102182696,,,,,
2021/7/10 11:00,1.43735,2021/7/10 15:00,1.09645,1.117928807,1.076761093,1.087500497,1.100029801,,,,,
2021/7/10 12:00,1.66273,2021/7/10 16:00,1.09464,1.111669867,1.079029288,1.087544222,1.097478311,,,,,
2021/7/10 13:00,1.79078,2021/7/10 17:00,1.09421,1.119922836,1.070639901,1.083496319,1.098495473,,,,,
2021/7/10 14:00,1.79078,2021/7/10 18:00,1.09346,1.094445916,1.092556243,1.093049202,1.093624319,,,,,
2021/7/10 15:00,1.79078,2021/7/10 19:00,1.09228,1.094904627,1.089874092,1.091186406,1.092717438,,,,,
2021/7/10 16:00,1.79078,2021/7/10 20:00,1.09124,1.096347241,1.086558363,1.089111983,1.092091207,,,,,
2021/7/10 17:00,1.72931,2021/7/10 21:00,1.09283,1.09037701,1.095078574,1.093852079,1.092421168,,,,,
2021/7/10 18:00,1.91883,2021/7/10 22:00,1.08263,1.064958384,1.098828982,1.089993174,1.079684731,,,,,
2021/7/10 19:00,2.08274,2021/7/10 23:00,1.0756,1.059006958,1.090810289,1.082513768,1.072834493,,,,,
2021/7/10 20:00,2.11348,2021/7/11 0:00,1.07087,1.056733015,1.083828903,1.076760411,1.068513836,,,,,
2021/7/10 21:00,2.24153,2021/7/11 1:00,1.07462,1.056867092,1.090893499,1.082017045,1.071661182,,,,,
2021/7/10 22:00,2.36958,2021/7/11 2:00,1.08997,1.082991149,1.09636728,1.092877855,1.088806858,,,,,
2021/7/10 23:00,2.24153,2021/7/11 3:00,1.11853,1.14622376,1.093144054,1.106990934,1.123145627,,,,,
2021/7/11 0:00,2.11348,2021/7/11 4:00,1.15489,1.163405644,1.147083993,1.151341815,1.156309274,,,,,
2021/7/11 1:00,1.8881,2021/7/11 5:00,1.19428,1.191405221,1.196915214,1.195477825,1.19380087,,,,,
2021/7/11 2:00,1.72931,2021/7/11 6:00,1.23252,1.237780399,1.227697967,1.230328167,1.233396733,,,,,
2021/7/11 3:00,1.46809,2021/7/11 7:00,1.2708,1.300907201,1.243201733,1.258255333,1.275817867,,,,,
2021/7/11 4:00,1.37589,2021/7/11 8:00,1.31187,1.316126678,1.307968045,1.310096384,1.312579446,,,,,
2021/7/11 5:00,1.3093,2021/7/11 9:00,1.34699,1.343048311,1.350603215,1.348632371,1.346333052,,,,,
2021/7/11 6:00,1.3093,2021/7/11 10:00,1.37102,1.375775646,1.366660658,1.369038481,1.371812608,,,,,
2021/7/11 7:00,1.3093,2021/7/11 11:00,1.40474,1.389264273,1.418926083,1.41118822,1.402160712,,,,,
2021/7/11 8:00,1.40662,2021/7/11 12:00,1.45143,1.434576533,1.466879012,1.458452278,1.448621089,,,,,
2021/7/11 9:00,1.40662,2021/7/11 13:00,1.5101,1.515992588,1.504698461,1.507644755,1.511082098,,,,,
2021/7/11 10:00,1.37589,2021/7/11 14:00,1.5798,1.57711084,1.582265064,1.580920484,1.579351807,,,,,
2021/7/11 11:00,1.34003,2021/7/11 15:00,1.65219,1.68191715,1.624940113,1.639803688,1.657144525,,,,,
2021/7/11 12:00,1.27857,2021/7/11 16:00,1.72637,1.722237736,1.730157908,1.728091777,1.725681289,,,,,
2021/7/11 13:00,1.11466,2021/7/11 17:00,1.80926,1.792140966,1.824952448,1.816392931,1.806406828,,,,,
2021/7/11 14:00,1.11466,2021/7/11 18:00,1.89426,1.893726656,1.894748898,1.894482227,1.894171109,,,,,
2021/7/11 15:00,1.11466,2021/7/11 19:00,1.98585,2.003392106,1.969769736,1.978540789,1.988773684,,,,,
2021/7/11 16:00,1.21198,2021/7/11 20:00,2.07249,2.057481606,2.086247695,2.078743498,2.069988601,,,,,
2021/7/11 17:00,1.46809,2021/7/11 21:00,2.18037,2.195558624,2.166447094,2.174041407,2.182901437,,,,,
2021/7/11 18:00,1.59614,2021/7/11 22:00,2.2577,2.283665941,2.233897888,2.246880858,2.262027657,,,,,
2021/7/11 19:00,1.69346,2021/7/11 23:00,2.37658,2.370470444,2.382180427,2.379125649,2.375561741,,,,,
