利奇马_温州,,,,,,,,,,,,
时间1,实测,时间2,频谱4,频谱6,频谱8,频谱10,频谱12,,,,,
2021/8/7 1:00,2.09542,2021/8/7 1:00,1.753822586,1.753556243,1.754088929,1.754142198,1.753156729,,,,,
2021/8/7 2:00,2.18014,2021/8/7 2:00,1.84512247,1.84634374,1.8439012,1.843656946,1.848175645,,,,,
2021/8/7 3:00,1.98246,2021/8/7 3:00,1.746204327,1.745551674,1.74685698,1.746987511,1.744572695,,,,,
2021/8/7 4:00,1.72831,2021/8/7 4:00,1.646465186,1.642700132,1.65023024,1.650983251,1.637052551,,,,,
2021/8/7 5:00,1.50239,2021/8/7 5:00,1.515405449,1.509046301,1.521764597,1.523036427,1.499507579,,,,,
2021/8/7 6:00,2.20838,2021/8/7 6:00,1.919790896,1.914666835,1.924914957,1.925939769,1.906980744,,,,,
2021/8/7 7:00,1.80306,2021/8/7 7:00,1.677826682,1.679455438,1.676197926,1.675872175,1.681898572,,,,,
2021/8/7 8:00,1.87174,2021/8/7 8:00,1.728700748,1.727277176,1.73012432,1.730409034,1.725141818,,,,,
2021/8/7 9:00,2.16436,2021/8/7 9:00,1.889983779,1.890631702,1.889335856,1.889206271,1.891603587,,,,,
2021/8/7 10:00,1.94042,2021/8/7 10:00,1.795941786,1.786317583,1.805565989,1.80749083,1.771881279,,,,,
2021/8/7 11:00,2.14644,2021/8/7 11:00,1.946789331,1.945943736,1.947634926,1.947804045,1.944675344,,,,,
2021/8/7 12:00,2.31963,2021/8/7 12:00,2.070320888,2.05764346,2.082998316,2.085533802,2.038627318,,,,,
2021/8/7 13:00,2.54357,2021/8/7 13:00,2.147158786,2.147090173,2.147227399,2.147241122,2.146987253,,,,,
2021/8/7 14:00,2.59433,2021/8/7 14:00,2.229361383,2.226196582,2.232526184,2.233159144,2.221449381,,,,,
2021/8/7 15:00,2.78245,2021/8/7 15:00,2.378838354,2.359244657,2.398432051,2.40235079,2.329854112,,,,,
2021/8/7 16:00,2.71377,2021/8/7 16:00,2.377236127,2.362440444,2.39203181,2.394990947,2.34024692,,,,,
2021/8/7 17:00,2.85112,2021/8/7 17:00,2.52011884,2.53048048,2.5097572,2.507684872,2.54602294,,,,,
2021/8/7 18:00,2.97056,2021/8/7 18:00,2.564236954,2.548416259,2.580057649,2.583221788,2.524685217,,,,,
