利奇马_舟山,,,,,,,,,,,,
时间1,实测,时间2,频谱4,频谱6,频谱8,频谱10,频谱12,,,,,
2021/8/7 5:00,0.07246,2021/8/7 1:00,0.8665,0.866899515,0.89705477,0.866191042,0.866047217,,,,,
2021/8/7 6:00,0.1862,2021/8/7 2:00,0.87308,0.871248095,0.861192743,0.874496673,0.875156159,,,,,
2021/8/7 7:00,0.07246,2021/8/7 3:00,0.86819,0.86916898,0.795984543,0.867432923,0.86708049,,,,,
2021/8/7 8:00,0.07246,2021/8/7 4:00,0.85432,0.859967581,0.784672051,0.849952537,0.847919408,,,,,
2021/8/7 9:00,0.07246,2021/8/7 5:00,0.83429,0.843828722,0.862284841,0.826913388,0.823479448,,,,,
2021/8/7 10:00,0.07246,2021/8/7 6:00,0.81379,0.821476092,0.822594196,0.807846089,0.805079096,,,,,
2021/8/7 11:00,0.26202,2021/8/7 7:00,0.79685,0.794406866,0.776105054,0.798739357,0.799618885,,,,,
2021/8/7 12:00,0.45503,2021/8/7 8:00,0.78799,0.790125358,0.759576786,0.786338656,0.785569928,,,,,
2021/8/7 13:00,0.56877,2021/8/7 9:00,0.78693,0.785958116,0.75833372,0.787681591,0.788031469,,,,,
2021/8/7 14:00,0.6446,2021/8/7 10:00,0.79005,0.804486305,0.832107291,0.778885925,0.773688855,,,,,
2021/8/7 15:00,0.87208,2021/8/7 11:00,0.79449,0.795758393,0.76425883,0.79350911,0.793052489,,,,,
2021/8/7 16:00,0.87208,2021/8/7 12:00,0.79193,0.810946142,0.684963716,0.777224184,0.770378372,,,,,
2021/8/7 17:00,0.87208,2021/8/7 13:00,0.78754,0.78764292,0.71923484,0.787460408,0.787423357,,,,,
2021/8/7 18:00,0.91344,2021/8/7 14:00,0.78713,0.791877202,0.784582872,0.783458831,0.781749838,,,,,
2021/8/7 19:00,1.14091,2021/8/7 15:00,0.7966,0.825990546,0.727358549,0.773871311,0.763290715,,,,,
2021/8/7 20:00,1.14091,2021/8/7 16:00,0.80984,0.832033525,0.746227322,0.792677008,0.784687339,,,,,
2021/8/7 21:00,1.29257,2021/8/7 17:00,0.83079,0.81524754,0.774287867,0.842809502,0.848404788,,,,,
2021/8/7 22:00,1.29257,2021/8/7 18:00,0.8561,0.879831043,0.816923483,0.837747994,0.829204819,,,,,
