A,,,B,,,C,
线程数A,计算时间A,,线程数B,计算时间B,,线程数C,计算时间C
1,14416.61922,,1,8360.58682,,1,3633.30414
2,7406.61266,,2,4374.33764,,2,1929.77885
3,6393.01511,,3,3258.52857,,3,1555.00328
4,5013.15962,,4,2994.48215,,4,1342.06262
5,4425.4434,,5,2517.49507,,5,1239.85111
6,3735.51566,,6,2244.93103,,6,975.80469
8,3045.58791,,8,1819.0497,,8,865.07554
10,2619.70659,,10,1555.00328,,10,703.24064
12,2244.93103,,12,1342.06262,,12,652.13488
14,2031.99037,,14,1239.85111,,14,601.02912
16,1819.0497,,16,1129.12196,,16,601.02912
18,1665.73243,,18,1129.12196,,18,549.92336
20,1878.67309,,20,1188.74535,,20,601.02912
24,1819.0497,,24,1078.0162,,24,601.02912
28,1716.83819,,28,1129.12196,,28,601.02912
32,1665.73243,,32,1026.91044,,32,549.92336
36,1503.89753,,36,975.80469,,36,601.02912
