A,,,B,,,C,
线程数A,加速比A,,线程数B,加速比B,,线程数C,加速比C
3,2.51426,,1,0.97651,,3,2.47424
5,3.0459,,2,1.90259,,4,2.83438
6,3.58325,,3,2.29703,,5,3.18881
8,4.1892,,4,2.79437,,6,3.54323
10,5.04668,,5,3.12021,,8,4.50933
12,5.50972,,6,3.65185,,10,5.4354
14,6.14997,,8,4.43501,,12,6.07566
16,6.79022,,10,5.4354,,14,6.75592
18,7.07605,,12,6.07566,,16,7.47049
20,6.32718,,14,6.89884,,18,7.96783
24,6.79022,,16,7.6477,,20,7.07605
28,7.04175,,18,8.25365,,24,7.29328
32,6.72162,,20,7.32757,,28,7.6134
36,7.00745,,24,7.43619,,32,7.96783
,,,28,8.04214,,36,8.28795
,,,32,8.36227,,,
,,,36,9.03682,,,
