灿鸿_舟山,,,,,,,,,,,,
时间1,实测,时间2,Time10,Time15,Time20,Time25,Time30,,,,,
2021/7/9 1:00,0.95587,2021/7/9 5:00,1.55605,1.578521418,1.533578582,1.600992836,1.544814291,,,,,
2021/7/9 2:00,1.21198,2021/7/9 6:00,1.54027,1.472847349,1.607692651,1.405424699,1.573981325,,,,,
2021/7/9 3:00,1.46809,2021/7/9 7:00,1.52504,1.450475217,1.599604783,1.375910434,1.562322391,,,,,
2021/7/9 4:00,1.53467,2021/7/9 8:00,1.51055,1.451415718,1.569684282,1.392281436,1.540117141,,,,,
2021/7/9 5:00,1.59614,2021/7/9 9:00,1.49631,1.423904654,1.568715346,1.351499309,1.532512673,,,,,
2021/7/9 6:00,1.59614,2021/7/9 10:00,1.48238,1.466040175,1.498719825,1.44970035,1.490549913,,,,,
2021/7/9 7:00,1.50394,2021/7/9 11:00,1.46852,1.428975787,1.508064213,1.389431573,1.488292107,,,,,
2021/7/9 8:00,1.34003,2021/7/9 12:00,1.45491,1.462223233,1.447596767,1.469536466,1.451253384,,,,,
2021/7/9 9:00,1.18125,2021/7/9 13:00,1.4413,1.370397523,1.512202477,1.299495045,1.476751239,,,,,
2021/7/9 10:00,1.24271,2021/7/9 14:00,1.4276,1.399729237,1.455470763,1.371858475,1.441535381,,,,,
2021/7/9 11:00,1.24271,2021/7/9 15:00,1.4136,1.391473397,1.435726603,1.369346793,1.424663302,,,,,
2021/7/9 12:00,1.21198,2021/7/9 16:00,1.39947,1.349253882,1.449686118,1.299037765,1.424578059,,,,,
2021/7/9 13:00,1.21198,2021/7/9 17:00,1.38516,1.376425897,1.393894103,1.367691794,1.389527051,,,,,
2021/7/9 14:00,1.15051,2021/7/9 18:00,1.37058,1.385223085,1.355936915,1.39986617,1.363258457,,,,,
2021/7/9 15:00,1.11466,2021/7/9 19:00,1.35566,1.300418081,1.410901919,1.245176162,1.38328096,,,,,
2021/7/9 16:00,1.11466,2021/7/9 20:00,1.34037,1.372831253,1.307908747,1.405292505,1.324139374,,,,,
2021/7/9 17:00,1.08392,2021/7/9 21:00,1.3247,1.30627467,1.34312533,1.287849341,1.333912665,,,,,
