x,l0,l1,l2,l3,l4,l5,l6
0,3.53613,3.53613,3.53613,3.53613,3.53613,3.53613,3.53613
10,3.54399,3.54399,3.54399,3.54399,3.54399,3.54399,3.54399
20,3.55206,3.55206,3.55206,3.55206,3.55206,3.55206,3.55206
30,3.56071,3.56071,3.56071,3.56071,3.56071,3.56071,3.56071
40,3.56942,3.56942,3.56943,3.56943,3.56943,3.56942,3.56942
50,3.57812,3.57812,3.57812,3.57812,3.57812,3.57812,3.57812
60,3.58723,3.58723,3.58724,3.58724,3.58724,3.58723,3.58723
70,3.59614,3.59614,3.59615,3.59615,3.59615,3.59614,3.59614
80,3.60469,3.60469,3.60469,3.60469,3.60469,3.60469,3.60469
90,3.61327,3.61327,3.61328,3.61328,3.61328,3.61327,3.61327
100,3.62103,3.62103,3.62104,3.62104,3.62104,3.62103,3.62103
110,3.62826,3.62826,3.62828,3.62828,3.62828,3.62826,3.62826
120,3.63383,3.63383,3.63385,3.63385,3.63385,3.63383,3.63383
130,3.63781,3.63781,3.63783,3.63783,3.63783,3.63781,3.63781
140,3.63861,3.63861,3.63864,3.63864,3.63864,3.63861,3.63861
150,3.63588,3.63588,3.63591,3.63591,3.63591,3.63588,3.63588
160,3.62804,3.62804,3.62808,3.62808,3.62808,3.62804,3.62804
170,3.61223,3.61223,3.61228,3.61228,3.61228,3.61223,3.61223
180,3.58744,3.58744,3.58749,3.58749,3.58749,3.58744,3.58744
190,3.54834,3.54834,3.54838,3.54838,3.54838,3.54834,3.54834
200,3.49184,3.49184,3.49189,3.49189,3.49189,3.49184,3.49184
210,3.41352,3.41352,3.41356,3.41356,3.41356,3.41352,3.41352
220,3.30647,3.30647,3.30651,3.30651,3.30651,3.30647,3.30647
230,3.16562,3.16562,3.16565,3.16565,3.16565,3.16562,3.16562
240,2.98646,2.98646,2.98649,2.98649,2.98649,2.98646,2.98646
250,2.76204,2.76204,2.76206,2.76206,2.76206,2.76204,2.76204
260,2.49232,2.49232,2.49234,2.49234,2.49234,2.49232,2.49232
270,2.22271,2.22271,2.22272,2.22272,2.22272,2.22271,2.22271
280,1.97496,1.97496,1.97498,1.97498,1.97498,1.97496,1.97496
290,1.70032,1.72682,1.72682,1.72682,1.72682,1.72681,1.72221
300,1.70032,1.72682,1.72682,1.72682,1.72682,1.72681,1.72221
