X,Y,Height
0,0,3.53613
10,0,2.40798
20,0,2.41513
30,0,2.42287
40,0,2.43089
50,0,2.43922
60,0,2.44824
70,0,2.4576
80,0,2.46732
90,0,2.47783
100,0,2.48873
110,0,2.50049
120,0,2.51264
130,0,2.52567
140,0,2.53901
150,0,2.55311
160,0,2.56784
170,0,2.58222
180,0,2.59709
190,0,2.61006
200,0,2.6203
210,0,2.62585
220,0,2.62123
230,0,2.59917
240,0,2.5495
250,0,2.45501
260,0,2.29757
270,0,2.06723
280,0,1.86464
290,0,1.70032
300,0,1.70032
0,100,3.53613
10,100,3.5409
20,100,3.54587
30,100,3.55143
40,100,3.55709
50,100,3.56276
60,100,3.56889
70,100,3.57486
80,100,3.58052
90,100,3.58627
100,100,3.59127
110,100,3.59581
120,100,3.5988
130,100,3.60031
140,100,3.59882
150,100,3.59399
160,100,3.5843
170,100,3.56705
180,100,3.54121
190,100,3.50175
200,100,3.44579
210,100,3.36897
220,100,3.26482
230,100,3.1286
240,100,2.95535
250,100,2.73838
260,100,2.47265
270,100,2.21773
280,100,1.98921
290,100,1.73199
300,100,1.73199
0,200,3.53613
10,200,3.54397
20,200,3.55302
30,200,3.56293
40,200,3.57296
50,200,3.58295
60,200,3.59332
70,200,3.60341
80,200,3.61306
90,200,3.62268
100,200,3.63139
110,200,3.63948
120,200,3.64579
130,200,3.65038
140,200,3.65165
150,200,3.6492
160,200,3.64143
170,200,3.62544
180,200,3.60017
190,200,3.56026
200,200,3.50263
210,200,3.42285
220,200,3.3141
230,200,3.17145
240,200,2.99055
250,200,2.76462
260,200,2.49435
270,200,2.22458
280,200,1.97686
290,200,1.72687
300,200,1.72687
0,300,3.53613
10,300,3.54399
20,300,3.55208
30,300,3.56077
40,300,3.56954
50,300,3.57831
60,300,3.58753
70,300,3.59655
80,300,3.60523
90,300,3.61396
100,300,3.62187
110,300,3.62927
120,300,3.63501
130,300,3.63916
140,300,3.64012
150,300,3.63754
160,300,3.62983
170,300,3.61412
180,300,3.58938
190,300,3.55027
200,300,3.4937
210,300,3.41523
220,300,3.30796
230,300,3.16684
240,300,2.98738
250,300,2.76267
260,300,2.49286
270,300,2.22322
280,300,1.97546
290,300,1.72686
300,300,1.72686
0,400,3.53613
10,400,3.54399
20,400,3.55206
30,400,3.56071
40,400,3.56941
50,400,3.5781
60,400,3.5872
70,400,3.5961
80,400,3.60464
90,400,3.61321
100,400,3.62096
110,400,3.62818
120,400,3.63374
130,400,3.63772
140,400,3.63852
150,400,3.63578
160,400,3.62794
170,400,3.61214
180,400,3.58736
190,400,3.54826
200,400,3.49178
210,400,3.41347
220,400,3.30644
230,400,3.1656
240,400,2.98645
250,400,2.76205
260,400,2.49233
270,400,2.22272
280,400,1.97498
290,400,1.72682
300,400,1.72682
0,500,3.53613
10,500,3.54399
20,500,3.55206
30,500,3.56071
40,500,3.56942
50,500,3.57812
60,500,3.58723
70,500,3.59614
80,500,3.60469
90,500,3.61327
100,500,3.62103
110,500,3.62826
120,500,3.63383
130,500,3.63781
140,500,3.63861
150,500,3.63588
160,500,3.62804
170,500,3.61223
180,500,3.58744
190,500,3.54834
200,500,3.49184
210,500,3.41352
220,500,3.30647
230,500,3.16562
240,500,2.98646
250,500,2.76204
260,500,2.49232
270,500,2.22271
280,500,1.97496
290,500,1.72682
300,500,1.72682
0,600,3.53613
10,600,3.54399
20,600,3.55206
30,600,3.56071
40,600,3.56943
50,600,3.57812
60,600,3.58724
70,600,3.59615
80,600,3.60469
90,600,3.61328
100,600,3.62104
110,600,3.62828
120,600,3.63385
130,600,3.63783
140,600,3.63864
150,600,3.63591
160,600,3.62808
170,600,3.61227
180,600,3.58749
190,600,3.54838
200,600,3.49189
210,600,3.41356
220,600,3.30651
230,600,3.16565
240,600,2.98649
250,600,2.76206
260,600,2.49234
270,600,2.22272
280,600,1.97498
290,600,1.72682
300,600,1.72682
0,700,3.53613
10,700,3.54399
20,700,3.55206
30,700,3.56071
40,700,3.56943
50,700,3.57812
60,700,3.58724
70,700,3.59615
80,700,3.60469
90,700,3.61328
100,700,3.62104
110,700,3.62828
120,700,3.63385
130,700,3.63783
140,700,3.63864
150,700,3.63591
160,700,3.62808
170,700,3.61228
180,700,3.58749
190,700,3.54838
200,700,3.49189
210,700,3.41356
220,700,3.30651
230,700,3.16565
240,700,2.98649
250,700,2.76206
260,700,2.49234
270,700,2.22272
280,700,1.97498
290,700,1.72682
300,700,1.72682
0,800,3.53613
10,800,3.54399
20,800,3.55206
30,800,3.56071
40,800,3.56943
50,800,3.57812
60,800,3.58724
70,800,3.59615
80,800,3.60469
90,800,3.61328
100,800,3.62104
110,800,3.62828
120,800,3.63385
130,800,3.63783
140,800,3.63864
150,800,3.63591
160,800,3.62808
170,800,3.61228
180,800,3.58749
190,800,3.54838
200,800,3.49189
210,800,3.41356
220,800,3.30651
230,800,3.16565
240,800,2.98649
250,800,2.76206
260,800,2.49234
270,800,2.22272
280,800,1.97498
290,800,1.72682
300,800,1.72682
0,900,3.53613
10,900,3.54399
20,900,3.55206
30,900,3.56071
40,900,3.56943
50,900,3.57812
60,900,3.58724
70,900,3.59615
80,900,3.60469
90,900,3.61328
100,900,3.62104
110,900,3.62828
120,900,3.63385
130,900,3.63783
140,900,3.63864
150,900,3.63591
160,900,3.62808
170,900,3.61228
180,900,3.58749
190,900,3.54838
200,900,3.49189
210,900,3.41356
220,900,3.30651
