x0,ah01,x1,ah02,x2,ah04,x3,ah06,x4,ah08,x5,ah10,x6,ah12
0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2
20,0.2,20,0.2,20,0.2,20,0.2,20,0.2,20,0.2,20,0.2
40,0.2,40,0.2,40,0.2,40,0.2,40,0.2,40,0.2,40,0.2
60,0.2,60,0.2,60,0.2,60,0.2,60,0.2,60,0.2,60,0.2
80,0.2,80,0.2,80,0.2,80,0.2,80,0.2,80,0.2,80,0.2
100,0.2,100,0.2,100,0.2,100,0.2,100,0.2,100,0.2,100,0.2
120,0.199,120,0.197792,120,0.196666,120,0.19534,120,0.194034,120,0.194034,120,0.194034
140,0.198,140,0.195584,140,0.193332,140,0.19068,140,0.188068,140,0.188068,140,0.188068
160,0.197,160,0.193376,160,0.189998,160,0.18602,160,0.182102,160,0.182102,160,0.182102
180,0.196,180,0.191168,180,0.186664,180,0.18136,180,0.176136,180,0.176136,180,0.176136
200,0.195,200,0.18896,200,0.18333,200,0.1767,200,0.17017,200,0.17017,200,0.17017
220,0.195,220,0.18896,220,0.18333,220,0.1767,220,0.17017,220,0.17017,220,0.17017
240,0.195,240,0.18896,240,0.18333,240,0.1767,240,0.17017,240,0.17017,240,0.17017
260,0.195,260,0.18896,260,0.18333,260,0.1767,260,0.17017,260,0.17017,260,0.17017
280,0.195,280,0.18896,280,0.18333,280,0.1767,280,0.17017,280,0.17017,280,0.17017
300,0.195,300,0.18896,300,0.18333,300,0.1767,300,0.17017,300,0.17017,300,0.17017
