x,y,Hs
0,0,0.28347
1,0,0.16547
2,0,0.14462
3,0,0.12811
4,0,0.11476
5,0,0.10377
6,0,0.09459
7,0,0.08681
8,0,0.08015
9,0,0.0744
10,0,0.06937
11,0,0.06495
12,0,0.06103
13,0,0.05754
14,0,0.05441
15,0,0.05159
16,0,0.04903
17,0,0.04671
18,0,0.04459
19,0,0.04264
20,0,0.04085
21,0,0.0392
22,0,0.03767
23,0,0.03626
24,0,0.03494
25,0,0.03371
26,0,0.03256
27,0,0.03148
28,0,0.03047
29,0,0.02952
30,0,0.02863
31,0,0.02778
32,0,0.02699
33,0,0.02623
34,0,0.02552
35,0,0.02484
36,0,0.0242
37,0,0.02358
38,0,0.023
39,0,0.02244
40,0,0.02191
41,0,0.0214
42,0,0.02092
43,0,0.02045
44,0,0.02001
45,0,0.01958
46,0,0.01917
47,0,0.01878
48,0,0.0184
49,0,0.01804
50,0,0.01769
0,10,0.28347
1,10,0.23178
2,10,0.19174
3,10,0.16165
4,10,0.13905
5,10,0.12182
6,10,0.10837
7,10,0.09761
8,10,0.08881
9,10,0.08147
10,10,0.07524
11,10,0.06989
12,10,0.06524
13,10,0.06117
14,10,0.05756
15,10,0.05435
16,10,0.05146
17,10,0.04887
18,10,0.04652
19,10,0.04437
20,10,0.04242
21,10,0.04062
22,10,0.03897
23,10,0.03744
24,10,0.03603
25,10,0.03471
26,10,0.03349
27,10,0.03235
28,10,0.03128
29,10,0.03028
30,10,0.02934
31,10,0.02845
32,10,0.02762
33,10,0.02683
34,10,0.02608
35,10,0.02538
36,10,0.02471
37,10,0.02407
38,10,0.02347
39,10,0.02289
40,10,0.02234
41,10,0.02182
42,10,0.02132
43,10,0.02084
44,10,0.02038
45,10,0.01994
46,10,0.01952
47,10,0.01912
48,10,0.01873
49,10,0.01836
50,10,0.018
0,20,0.28347
1,20,0.23189
2,20,0.1883
3,20,0.15514
4,20,0.13082
5,20,0.11298
6,20,0.09962
7,20,0.08932
8,20,0.08113
9,20,0.07443
10,20,0.06882
11,20,0.06405
12,20,0.05993
13,20,0.05632
14,20,0.05314
15,20,0.05031
16,20,0.04777
17,20,0.04548
18,20,0.0434
19,20,0.04151
20,20,0.03978
21,20,0.03819
22,20,0.03672
23,20,0.03537
24,20,0.03411
25,20,0.03294
26,20,0.03185
27,20,0.03083
28,20,0.02987
29,20,0.02897
30,20,0.02812
31,20,0.02733
32,20,0.02657
33,20,0.02586
34,20,0.02519
35,20,0.02455
36,20,0.02394
37,20,0.02336
38,20,0.02281
39,20,0.02228
40,20,0.02178
41,20,0.0213
42,20,0.02084
43,20,0.0204
44,20,0.01998
45,20,0.01958
46,20,0.01919
47,20,0.01881
48,20,0.01846
49,20,0.01811
50,20,0.01778
0,30,0.28347
1,30,0.2319
2,30,0.18825
3,30,0.15502
4,30,0.13061
5,30,0.1127
6,30,0.09928
7,30,0.08893
8,30,0.08069
9,30,0.07396
10,30,0.06833
11,30,0.06354
12,30,0.0594
13,30,0.05579
14,30,0.0526
15,30,0.04976
16,30,0.04722
17,30,0.04493
18,30,0.04285
19,30,0.04096
20,30,0.03924
21,30,0.03765
22,30,0.03619
23,30,0.03484
24,30,0.03359
25,30,0.03242
26,30,0.03134
27,30,0.03032
28,30,0.02937
29,30,0.02848
30,30,0.02764
31,30,0.02685
32,30,0.0261
33,30,0.0254
34,30,0.02473
35,30,0.0241
36,30,0.0235
37,30,0.02293
38,30,0.02238
39,30,0.02186
40,30,0.02137
41,30,0.02089
42,30,0.02044
43,30,0.02001
44,30,0.0196
45,30,0.0192
46,30,0.01882
47,30,0.01845
48,30,0.0181
49,30,0.01776
50,30,0.01744
0,40,0.28347
1,40,0.2319
2,40,0.18825
3,40,0.15502
4,40,0.13063
5,40,0.11272
6,40,0.09931
7,40,0.08896
8,40,0.08073
9,40,0.074
10,40,0.06837
11,40,0.06358
12,40,0.05944
13,40,0.05582
14,40,0.05263
15,40,0.04979
16,40,0.04725
17,40,0.04495
18,40,0.04288
19,40,0.04098
20,40,0.03925
21,40,0.03766
22,40,0.0362
23,40,0.03484
24,40,0.03359
25,40,0.03242
26,40,0.03133
27,40,0.03031
28,40,0.02936
29,40,0.02846
30,40,0.02762
31,40,0.02683
32,40,0.02608
33,40,0.02537
34,40,0.0247
35,40,0.02406
36,40,0.02346
37,40,0.02289
38,40,0.02234
39,40,0.02182
40,40,0.02132
41,40,0.02085
42,40,0.02039
43,40,0.01996
44,40,0.01954
45,40,0.01914
46,40,0.01876
47,40,0.01839
48,40,0.01803
49,40,0.01769
50,40,0.01738
0,50,0.28347
1,50,0.2319
2,50,0.18825
3,50,0.15502
4,50,0.13063
5,50,0.11272
6,50,0.09931
7,50,0.08896
8,50,0.08073
9,50,0.074
10,50,0.06838
11,50,0.06359
12,50,0.05945
13,50,0.05583
14,50,0.05264
15,50,0.0498
16,50,0.04726
17,50,0.04497
18,50,0.04289
19,50,0.041
20,50,0.03927
21,50,0.03768
22,50,0.03622
23,50,0.03486
24,50,0.03361
25,50,0.03244
26,50,0.03135
27,50,0.03033
28,50,0.02938
29,50,0.02848
30,50,0.02764
31,50,0.02685
32,50,0.0261
33,50,0.02539
34,50,0.02472
35,50,0.02408
36,50,0.02348
37,50,0.0229
38,50,0.02236
39,50,0.02183
40,50,0.02134
41,50,0.02086
42,50,0.02041
43,50,0.01997
44,50,0.01955
45,50,0.01915
46,50,0.01877
47,50,0.0184
48,50,0.01805
49,50,0.01771
50,50,0.01739
0,60,0.28347
1,60,0.2319
2,60,0.18825
3,60,0.15502
4,60,0.13063
5,60,0.11272
6,60,0.09931
7,60,0.08896
8,60,0.08073
9,60,0.074
10,60,0.06838
11,60,0.06359
12,60,0.05945
13,60,0.05583
14,60,0.05264
15,60,0.0498
16,60,0.04726
17,60,0.04497
18,60,0.04289
19,60,0.041
20,60,0.03927
21,60,0.03768
22,60,0.03622
23,60,0.03486
24,60,0.03361
25,60,0.03244
26,60,0.03135
27,60,0.03033
28,60,0.02938
29,60,0.02848
30,60,0.02764
31,60,0.02685
32,60,0.0261
33,60,0.02539
34,60,0.02472
35,60,0.02409
36,60,0.02348
37,60,0.02291
38,60,0.02236
39,60,0.02184
40,60,0.02134
41,60,0.02087
42,60,0.02041
43,60,0.01998
44,60,0.01956
45,60,0.01916
46,60,0.01878
47,60,0.01841
48,60,0.01805
49,60,0.01771
50,60,0.01739
0,70,0.28347
1,70,0.2319
2,70,0.18825
3,70,0.15502
4,70,0.13063
5,70,0.11272
6,70,0.09931
7,70,0.08896
8,70,0.08073
9,70,0.074
10,70,0.06838
11,70,0.06359
12,70,0.05945
13,70,0.05583
14,70,0.05264
15,70,0.0498
16,70,0.04726
17,70,0.04497
18,70,0.04289
19,70,0.041
20,70,0.03927
21,70,0.03768
22,70,0.03622
23,70,0.03486
24,70,0.03361
25,70,0.03244
26,70,0.03135
27,70,0.03033
28,70,0.02938
29,70,0.02848
30,70,0.02764
31,70,0.02685
32,70,0.0261
33,70,0.02539
34,70,0.02472
35,70,0.02409
36,70,0.02348
37,70,0.02291
38,70,0.02236
39,70,0.02184
40,70,0.02134
41,70,0.02087
42,70,0.02041
43,70,0.01998
44,70,0.01956
45,70,0.01916
46,70,0.01878
47,70,0.01841
48,70,0.01805
49,70,0.01771
50,70,0.01739
0,80,0.28347
1,80,0.2319
2,80,0.18825
3,80,0.15502
4,80,0.13063
5,80,0.11272
6,80,0.09931
7,80,0.08896
8,80,0.08073
9,80,0.074
10,80,0.06838
11,80,0.06359
12,80,0.05945
13,80,0.05583
14,80,0.05264
15,80,0.0498
16,80,0.04726
17,80,0.04497
18,80,0.04289
19,80,0.041
20,80,0.03927
21,80,0.03768
22,80,0.03622
23,80,0.03486
24,80,0.03361
25,80,0.03244
26,80,0.03135
27,80,0.03033
28,80,0.02938
29,80,0.02848
30,80,0.02764
31,80,0.02685
32,80,0.0261
33,80,0.02539
34,80,0.02472
35,80,0.02409
36,80,0.02348
37,80,0.02291
38,80,0.02236
39,80,0.02184
40,80,0.02134
41,80,0.02087
42,80,0.02041
43,80,0.01998
44,80,0.01956
45,80,0.01916
46,80,0.01878
47,80,0.01841
48,80,0.01805
49,80,0.01771
50,80,0.01739
0,90,0.28347
1,90,0.2319
2,90,0.18825
3,90,0.15502
4,90,0.13063
5,90,0.11272
6,90,0.09931
7,90,0.08896
8,90,0.08073
9,90,0.074
10,90,0.06838
11,90,0.06359
12,90,0.05945
13,90,0.05583
14,90,0.05264
15,90,0.0498
16,90,0.04726
17,90,0.04497
18,90,0.04289
19,90,0.041
20,90,0.03927
21,90,0.03768
22,90,0.03622
23,90,0.03486
24,90,0.03361
25,90,0.03244
26,90,0.03135
27,90,0.03033
28,90,0.02938
29,90,0.02848
30,90,0.02764
31,90,0.02685
32,90,0.0261
33,90,0.02539
34,90,0.02472
35,90,0.02409
36,90,0.02348
37,90,0.02291
38,90,0.02236
39,90,0.02184
40,90,0.02134
41,90,0.02087
42,90,0.02041
43,90,0.01998
44,90,0.01956
45,90,0.01916
46,90,0.01878
47,90,0.01841
48,90,0.01805
49,90,0.01771
50,90,0.01739
0,100,0.28347
1,100,0.2319
2,100,0.18825
3,100,0.15502
4,100,0.13063
5,100,0.11272
6,100,0.09931
7,100,0.08896
8,100,0.08073
