%
%
% Run:V1    Table:COMPGRID          SWAN version:41.31AB
%
%       Xp            Yp            Hsig        X-Windv       Y-Windv    
%       [m]           [m]           [m]           [m/s]         [m/s]    
%
           0.            0.       0.28347        0.0000        0.0000 
           1.            0.       0.16547        0.0000        0.0000 
           2.            0.       0.14462        0.0000        0.0000 
           3.            0.       0.12811        0.0000        0.0000 
           4.            0.       0.11476        0.0000        0.0000 
           5.            0.       0.10377        0.0000        0.0000 
           6.            0.       0.09459        0.0000        0.0000 
           7.            0.       0.08681        0.0000        0.0000 
           8.            0.       0.08015        0.0000        0.0000 
           9.            0.       0.07440        0.0000        0.0000 
          10.            0.       0.06937        0.0000        0.0000 
          11.            0.       0.06495        0.0000        0.0000 
          12.            0.       0.06103        0.0000        0.0000 
          13.            0.       0.05754        0.0000        0.0000 
          14.            0.       0.05441        0.0000        0.0000 
          15.            0.       0.05159        0.0000        0.0000 
          16.            0.       0.04903        0.0000        0.0000 
          17.            0.       0.04671        0.0000        0.0000 
          18.            0.       0.04459        0.0000        0.0000 
          19.            0.       0.04264        0.0000        0.0000 
          20.            0.       0.04085        0.0000        0.0000 
          21.            0.       0.03920        0.0000        0.0000 
          22.            0.       0.03767        0.0000        0.0000 
          23.            0.       0.03626        0.0000        0.0000 
          24.            0.       0.03494        0.0000        0.0000 
          25.            0.       0.03371        0.0000        0.0000 
          26.            0.       0.03256        0.0000        0.0000 
          27.            0.       0.03148        0.0000        0.0000 
          28.            0.       0.03047        0.0000        0.0000 
          29.            0.       0.02952        0.0000        0.0000 
          30.            0.       0.02863        0.0000        0.0000 
          31.            0.       0.02778        0.0000        0.0000 
          32.            0.       0.02699        0.0000        0.0000 
          33.            0.       0.02623        0.0000        0.0000 
          34.            0.       0.02552        0.0000        0.0000 
          35.            0.       0.02484        0.0000        0.0000 
          36.            0.       0.02420        0.0000        0.0000 
          37.            0.       0.02358        0.0000        0.0000 
          38.            0.       0.02300        0.0000        0.0000 
          39.            0.       0.02244        0.0000        0.0000 
          40.            0.       0.02191        0.0000        0.0000 
          41.            0.       0.02140        0.0000        0.0000 
          42.            0.       0.02092        0.0000        0.0000 
          43.            0.       0.02045        0.0000        0.0000 
          44.            0.       0.02001        0.0000        0.0000 
          45.            0.       0.01958        0.0000        0.0000 
          46.            0.       0.01917        0.0000        0.0000 
          47.            0.       0.01878        0.0000        0.0000 
          48.            0.       0.01840        0.0000        0.0000 
          49.            0.       0.01804        0.0000        0.0000 
          50.            0.       0.01769        0.0000        0.0000 
           0.           10.       0.28347        0.0000        0.0000 
           1.           10.       0.23178        0.0000        0.0000 
           2.           10.       0.19174        0.0000        0.0000 
           3.           10.       0.16165        0.0000        0.0000 
           4.           10.       0.13905        0.0000        0.0000 
           5.           10.       0.12182        0.0000        0.0000 
           6.           10.       0.10837        0.0000        0.0000 
           7.           10.       0.09761        0.0000        0.0000 
           8.           10.       0.08881        0.0000        0.0000 
           9.           10.       0.08147        0.0000        0.0000 
          10.           10.       0.07524        0.0000        0.0000 
          11.           10.       0.06989        0.0000        0.0000 
          12.           10.       0.06524        0.0000        0.0000 
          13.           10.       0.06117        0.0000        0.0000 
          14.           10.       0.05756        0.0000        0.0000 
          15.           10.       0.05435        0.0000        0.0000 
          16.           10.       0.05146        0.0000        0.0000 
          17.           10.       0.04887        0.0000        0.0000 
          18.           10.       0.04652        0.0000        0.0000 
          19.           10.       0.04437        0.0000        0.0000 
          20.           10.       0.04242        0.0000        0.0000 
          21.           10.       0.04062        0.0000        0.0000 
          22.           10.       0.03897        0.0000        0.0000 
          23.           10.       0.03744        0.0000        0.0000 
          24.           10.       0.03603        0.0000        0.0000 
          25.           10.       0.03471        0.0000        0.0000 
          26.           10.       0.03349        0.0000        0.0000 
          27.           10.       0.03235        0.0000        0.0000 
          28.           10.       0.03128        0.0000        0.0000 
          29.           10.       0.03028        0.0000        0.0000 
          30.           10.       0.02934        0.0000        0.0000 
          31.           10.       0.02845        0.0000        0.0000 
          32.           10.       0.02762        0.0000        0.0000 
          33.           10.       0.02683        0.0000        0.0000 
          34.           10.       0.02608        0.0000        0.0000 
          35.           10.       0.02538        0.0000        0.0000 
          36.           10.       0.02471        0.0000        0.0000 
          37.           10.       0.02407        0.0000        0.0000 
          38.           10.       0.02347        0.0000        0.0000 
          39.           10.       0.02289        0.0000        0.0000 
          40.           10.       0.02234        0.0000        0.0000 
          41.           10.       0.02182        0.0000        0.0000 
          42.           10.       0.02132        0.0000        0.0000 
          43.           10.       0.02084        0.0000        0.0000 
          44.           10.       0.02038        0.0000        0.0000 
          45.           10.       0.01994        0.0000        0.0000 
          46.           10.       0.01952        0.0000        0.0000 
          47.           10.       0.01912        0.0000        0.0000 
          48.           10.       0.01873        0.0000        0.0000 
          49.           10.       0.01836        0.0000        0.0000 
          50.           10.       0.01800        0.0000        0.0000 
           0.           20.       0.28347        0.0000        0.0000 
           1.           20.       0.23189        0.0000        0.0000 
           2.           20.       0.18830        0.0000        0.0000 
           3.           20.       0.15514        0.0000        0.0000 
           4.           20.       0.13082        0.0000        0.0000 
           5.           20.       0.11298        0.0000        0.0000 
           6.           20.       0.09962        0.0000        0.0000 
           7.           20.       0.08932        0.0000        0.0000 
           8.           20.       0.08113        0.0000        0.0000 
           9.           20.       0.07443        0.0000        0.0000 
          10.           20.       0.06882        0.0000        0.0000 
          11.           20.       0.06405        0.0000        0.0000 
          12.           20.       0.05993        0.0000        0.0000 
          13.           20.       0.05632        0.0000        0.0000 
          14.           20.       0.05314        0.0000        0.0000 
          15.           20.       0.05031        0.0000        0.0000 
          16.           20.       0.04777        0.0000        0.0000 
          17.           20.       0.04548        0.0000        0.0000 
          18.           20.       0.04340        0.0000        0.0000 
          19.           20.       0.04151        0.0000        0.0000 
          20.           20.       0.03978        0.0000        0.0000 
          21.           20.       0.03819        0.0000        0.0000 
          22.           20.       0.03672        0.0000        0.0000 
          23.           20.       0.03537        0.0000        0.0000 
          24.           20.       0.03411        0.0000        0.0000 
          25.           20.       0.03294        0.0000        0.0000 
          26.           20.       0.03185        0.0000        0.0000 
          27.           20.       0.03083        0.0000        0.0000 
          28.           20.       0.02987        0.0000        0.0000 
          29.           20.       0.02897        0.0000        0.0000 
          30.           20.       0.02812        0.0000        0.0000 
          31.           20.       0.02733        0.0000        0.0000 
          32.           20.       0.02657        0.0000        0.0000 
          33.           20.       0.02586        0.0000        0.0000 
          34.           20.       0.02519        0.0000        0.0000 
          35.           20.       0.02455        0.0000        0.0000 
          36.           20.       0.02394        0.0000        0.0000 
          37.           20.       0.02336        0.0000        0.0000 
          38.           20.       0.02281        0.0000        0.0000 
          39.           20.       0.02228        0.0000        0.0000 
          40.           20.       0.02178        0.0000        0.0000 
          41.           20.       0.02130        0.0000        0.0000 
          42.           20.       0.02084        0.0000        0.0000 
          43.           20.       0.02040        0.0000        0.0000 
          44.           20.       0.01998        0.0000        0.0000 
          45.           20.       0.01958        0.0000        0.0000 
          46.           20.       0.01919        0.0000        0.0000 
          47.           20.       0.01881        0.0000        0.0000 
          48.           20.       0.01846        0.0000        0.0000 
          49.           20.       0.01811        0.0000        0.0000 
          50.           20.       0.01778        0.0000        0.0000 
           0.           30.       0.28347        0.0000        0.0000 
           1.           30.       0.23190        0.0000        0.0000 
           2.           30.       0.18825        0.0000        0.0000 
           3.           30.       0.15502        0.0000        0.0000 
           4.           30.       0.13061        0.0000        0.0000 
           5.           30.       0.11270        0.0000        0.0000 
           6.           30.       0.09928        0.0000        0.0000 
           7.           30.       0.08893        0.0000        0.0000 
           8.           30.       0.08069        0.0000        0.0000 
           9.           30.       0.07396        0.0000        0.0000 
          10.           30.       0.06833        0.0000        0.0000 
          11.           30.       0.06354        0.0000        0.0000 
          12.           30.       0.05940        0.0000        0.0000 
          13.           30.       0.05579        0.0000        0.0000 
          14.           30.       0.05260        0.0000        0.0000 
          15.           30.       0.04976        0.0000        0.0000 
          16.           30.       0.04722        0.0000        0.0000 
          17.           30.       0.04493        0.0000        0.0000 
          18.           30.       0.04285        0.0000        0.0000 
          19.           30.       0.04096        0.0000        0.0000 
          20.           30.       0.03924        0.0000        0.0000 
          21.           30.       0.03765        0.0000        0.0000 
          22.           30.       0.03619        0.0000        0.0000 
          23.           30.       0.03484        0.0000        0.0000 
          24.           30.       0.03359        0.0000        0.0000 
          25.           30.       0.03242        0.0000        0.0000 
          26.           30.       0.03134        0.0000        0.0000 
          27.           30.       0.03032        0.0000        0.0000 
          28.           30.       0.02937        0.0000        0.0000 
          29.           30.       0.02848        0.0000        0.0000 
          30.           30.       0.02764        0.0000        0.0000 
          31.           30.       0.02685        0.0000        0.0000 
          32.           30.       0.02610        0.0000        0.0000 
          33.           30.       0.02540        0.0000        0.0000 
          34.           30.       0.02473        0.0000        0.0000 
          35.           30.       0.02410        0.0000        0.0000 
          36.           30.       0.02350        0.0000        0.0000 
          37.           30.       0.02293        0.0000        0.0000 
          38.           30.       0.02238        0.0000        0.0000 
          39.           30.       0.02186        0.0000        0.0000 
          40.           30.       0.02137        0.0000        0.0000 
          41.           30.       0.02089        0.0000        0.0000 
          42.           30.       0.02044        0.0000        0.0000 
          43.           30.       0.02001        0.0000        0.0000 
          44.           30.       0.01960        0.0000        0.0000 
          45.           30.       0.01920        0.0000        0.0000 
          46.           30.       0.01882        0.0000        0.0000 
          47.           30.       0.01845        0.0000        0.0000 
          48.           30.       0.01810        0.0000        0.0000 
          49.           30.       0.01776        0.0000        0.0000 
          50.           30.       0.01744        0.0000        0.0000 
           0.           40.       0.28347        0.0000        0.0000 
           1.           40.       0.23190        0.0000        0.0000 
           2.           40.       0.18825        0.0000        0.0000 
           3.           40.       0.15502        0.0000        0.0000 
           4.           40.       0.13063        0.0000        0.0000 
           5.           40.       0.11272        0.0000        0.0000 
           6.           40.       0.09931        0.0000        0.0000 
           7.           40.       0.08896        0.0000        0.0000 
           8.           40.       0.08073        0.0000        0.0000 
           9.           40.       0.07400        0.0000        0.0000 
          10.           40.       0.06837        0.0000        0.0000 
          11.           40.       0.06358        0.0000        0.0000 
          12.           40.       0.05944        0.0000        0.0000 
          13.           40.       0.05582        0.0000        0.0000 
          14.           40.       0.05263        0.0000        0.0000 
          15.           40.       0.04979        0.0000        0.0000 
          16.           40.       0.04725        0.0000        0.0000 
          17.           40.       0.04495        0.0000        0.0000 
          18.           40.       0.04288        0.0000        0.0000 
          19.           40.       0.04098        0.0000        0.0000 
          20.           40.       0.03925        0.0000        0.0000 
          21.           40.       0.03766        0.0000        0.0000 
          22.           40.       0.03620        0.0000        0.0000 
          23.           40.       0.03484        0.0000        0.0000 
          24.           40.       0.03359        0.0000        0.0000 
          25.           40.       0.03242        0.0000        0.0000 
          26.           40.       0.03133        0.0000        0.0000 
          27.           40.       0.03031        0.0000        0.0000 
          28.           40.       0.02936        0.0000        0.0000 
          29.           40.       0.02846        0.0000        0.0000 
          30.           40.       0.02762        0.0000        0.0000 
          31.           40.       0.02683        0.0000        0.0000 
          32.           40.       0.02608        0.0000        0.0000 
          33.           40.       0.02537        0.0000        0.0000 
          34.           40.       0.02470        0.0000        0.0000 
          35.           40.       0.02406        0.0000        0.0000 
          36.           40.       0.02346        0.0000        0.0000 
          37.           40.       0.02289        0.0000        0.0000 
          38.           40.       0.02234        0.0000        0.0000 
          39.           40.       0.02182        0.0000        0.0000 
          40.           40.       0.02132        0.0000        0.0000 
          41.           40.       0.02085        0.0000        0.0000 
          42.           40.       0.02039        0.0000        0.0000 
          43.           40.       0.01996        0.0000        0.0000 
          44.           40.       0.01954        0.0000        0.0000 
          45.           40.       0.01914        0.0000        0.0000 
          46.           40.       0.01876        0.0000        0.0000 
          47.           40.       0.01839        0.0000        0.0000 
          48.           40.       0.01803        0.0000        0.0000 
          49.           40.       0.01769        0.0000        0.0000 
          50.           40.       0.01738        0.0000        0.0000 
           0.           50.       0.28347        0.0000        0.0000 
           1.           50.       0.23190        0.0000        0.0000 
           2.           50.       0.18825        0.0000        0.0000 
           3.           50.       0.15502        0.0000        0.0000 
           4.           50.       0.13063        0.0000        0.0000 
           5.           50.       0.11272        0.0000        0.0000 
           6.           50.       0.09931        0.0000        0.0000 
           7.           50.       0.08896        0.0000        0.0000 
           8.           50.       0.08073        0.0000        0.0000 
           9.           50.       0.07400        0.0000        0.0000 
          10.           50.       0.06838        0.0000        0.0000 
          11.           50.       0.06359        0.0000        0.0000 
          12.           50.       0.05945        0.0000        0.0000 
          13.           50.       0.05583        0.0000        0.0000 
          14.           50.       0.05264        0.0000        0.0000 
          15.           50.       0.04980        0.0000        0.0000 
          16.           50.       0.04726        0.0000        0.0000 
          17.           50.       0.04497        0.0000        0.0000 
          18.           50.       0.04289        0.0000        0.0000 
          19.           50.       0.04100        0.0000        0.0000 
          20.           50.       0.03927        0.0000        0.0000 
          21.           50.       0.03768        0.0000        0.0000 
          22.           50.       0.03622        0.0000        0.0000 
          23.           50.       0.03486        0.0000        0.0000 
          24.           50.       0.03361        0.0000        0.0000 
          25.           50.       0.03244        0.0000        0.0000 
          26.           50.       0.03135        0.0000        0.0000 
          27.           50.       0.03033        0.0000        0.0000 
          28.           50.       0.02938        0.0000        0.0000 
          29.           50.       0.02848        0.0000        0.0000 
          30.           50.       0.02764        0.0000        0.0000 
          31.           50.       0.02685        0.0000        0.0000 
          32.           50.       0.02610        0.0000        0.0000 
          33.           50.       0.02539        0.0000        0.0000 
          34.           50.       0.02472        0.0000        0.0000 
          35.           50.       0.02408        0.0000        0.0000 
          36.           50.       0.02348        0.0000        0.0000 
          37.           50.       0.02290        0.0000        0.0000 
          38.           50.       0.02236        0.0000        0.0000 
          39.           50.       0.02183        0.0000        0.0000 
          40.           50.       0.02134        0.0000        0.0000 
          41.           50.       0.02086        0.0000        0.0000 
          42.           50.       0.02041        0.0000        0.0000 
          43.           50.       0.01997        0.0000        0.0000 
          44.           50.       0.01955        0.0000        0.0000 
          45.           50.       0.01915        0.0000        0.0000 
          46.           50.       0.01877        0.0000        0.0000 
          47.           50.       0.01840        0.0000        0.0000 
          48.           50.       0.01805        0.0000        0.0000 
          49.           50.       0.01771        0.0000        0.0000 
          50.           50.       0.01739        0.0000        0.0000 
           0.           60.       0.28347        0.0000        0.0000 
           1.           60.       0.23190        0.0000        0.0000 
           2.           60.       0.18825        0.0000        0.0000 
           3.           60.       0.15502        0.0000        0.0000 
           4.           60.       0.13063        0.0000        0.0000 
           5.           60.       0.11272        0.0000        0.0000 
           6.           60.       0.09931        0.0000        0.0000 
           7.           60.       0.08896        0.0000        0.0000 
           8.           60.       0.08073        0.0000        0.0000 
           9.           60.       0.07400        0.0000        0.0000 
          10.           60.       0.06838        0.0000        0.0000 
          11.           60.       0.06359        0.0000        0.0000 
          12.           60.       0.05945        0.0000        0.0000 
          13.           60.       0.05583        0.0000        0.0000 
          14.           60.       0.05264        0.0000        0.0000 
          15.           60.       0.04980        0.0000        0.0000 
          16.           60.       0.04726        0.0000        0.0000 
          17.           60.       0.04497        0.0000        0.0000 
          18.           60.       0.04289        0.0000        0.0000 
          19.           60.       0.04100        0.0000        0.0000 
          20.           60.       0.03927        0.0000        0.0000 
          21.           60.       0.03768        0.0000        0.0000 
          22.           60.       0.03622        0.0000        0.0000 
          23.           60.       0.03486        0.0000        0.0000 
          24.           60.       0.03361        0.0000        0.0000 
          25.           60.       0.03244        0.0000        0.0000 
          26.           60.       0.03135        0.0000        0.0000 
          27.           60.       0.03033        0.0000        0.0000 
          28.           60.       0.02938        0.0000        0.0000 
          29.           60.       0.02848        0.0000        0.0000 
          30.           60.       0.02764        0.0000        0.0000 
          31.           60.       0.02685        0.0000        0.0000 
          32.           60.       0.02610        0.0000        0.0000 
          33.           60.       0.02539        0.0000        0.0000 
          34.           60.       0.02472        0.0000        0.0000 
          35.           60.       0.02409        0.0000        0.0000 
          36.           60.       0.02348        0.0000        0.0000 
          37.           60.       0.02291        0.0000        0.0000 
          38.           60.       0.02236        0.0000        0.0000 
          39.           60.       0.02184        0.0000        0.0000 
          40.           60.       0.02134        0.0000        0.0000 
          41.           60.       0.02087        0.0000        0.0000 
          42.           60.       0.02041        0.0000        0.0000 
          43.           60.       0.01998        0.0000        0.0000 
          44.           60.       0.01956        0.0000        0.0000 
          45.           60.       0.01916        0.0000        0.0000 
          46.           60.       0.01878        0.0000        0.0000 
          47.           60.       0.01841        0.0000        0.0000 
          48.           60.       0.01805        0.0000        0.0000 
          49.           60.       0.01771        0.0000        0.0000 
          50.           60.       0.01739        0.0000        0.0000 
           0.           70.       0.28347        0.0000        0.0000 
           1.           70.       0.23190        0.0000        0.0000 
           2.           70.       0.18825        0.0000        0.0000 
           3.           70.       0.15502        0.0000        0.0000 
           4.           70.       0.13063        0.0000        0.0000 
           5.           70.       0.11272        0.0000        0.0000 
           6.           70.       0.09931        0.0000        0.0000 
           7.           70.       0.08896        0.0000        0.0000 
           8.           70.       0.08073        0.0000        0.0000 
           9.           70.       0.07400        0.0000        0.0000 
          10.           70.       0.06838        0.0000        0.0000 
          11.           70.       0.06359        0.0000        0.0000 
          12.           70.       0.05945        0.0000        0.0000 
          13.           70.       0.05583        0.0000        0.0000 
          14.           70.       0.05264        0.0000        0.0000 
          15.           70.       0.04980        0.0000        0.0000 
          16.           70.       0.04726        0.0000        0.0000 
          17.           70.       0.04497        0.0000        0.0000 
          18.           70.       0.04289        0.0000        0.0000 
          19.           70.       0.04100        0.0000        0.0000 
          20.           70.       0.03927        0.0000        0.0000 
          21.           70.       0.03768        0.0000        0.0000 
          22.           70.       0.03622        0.0000        0.0000 
          23.           70.       0.03486        0.0000        0.0000 
          24.           70.       0.03361        0.0000        0.0000 
          25.           70.       0.03244        0.0000        0.0000 
          26.           70.       0.03135        0.0000        0.0000 
          27.           70.       0.03033        0.0000        0.0000 
          28.           70.       0.02938        0.0000        0.0000 
          29.           70.       0.02848        0.0000        0.0000 
          30.           70.       0.02764        0.0000        0.0000 
          31.           70.       0.02685        0.0000        0.0000 
          32.           70.       0.02610        0.0000        0.0000 
          33.           70.       0.02539        0.0000        0.0000 
          34.           70.       0.02472        0.0000        0.0000 
          35.           70.       0.02409        0.0000        0.0000 
          36.           70.       0.02348        0.0000        0.0000 
          37.           70.       0.02291        0.0000        0.0000 
          38.           70.       0.02236        0.0000        0.0000 
          39.           70.       0.02184        0.0000        0.0000 
          40.           70.       0.02134        0.0000        0.0000 
          41.           70.       0.02087        0.0000        0.0000 
          42.           70.       0.02041        0.0000        0.0000 
          43.           70.       0.01998        0.0000        0.0000 
          44.           70.       0.01956        0.0000        0.0000 
          45.           70.       0.01916        0.0000        0.0000 
          46.           70.       0.01878        0.0000        0.0000 
          47.           70.       0.01841        0.0000        0.0000 
          48.           70.       0.01805        0.0000        0.0000 
          49.           70.       0.01771        0.0000        0.0000 
          50.           70.       0.01739        0.0000        0.0000 
           0.           80.       0.28347        0.0000        0.0000 
           1.           80.       0.23190        0.0000        0.0000 
           2.           80.       0.18825        0.0000        0.0000 
           3.           80.       0.15502        0.0000        0.0000 
           4.           80.       0.13063        0.0000        0.0000 
           5.           80.       0.11272        0.0000        0.0000 
           6.           80.       0.09931        0.0000        0.0000 
           7.           80.       0.08896        0.0000        0.0000 
           8.           80.       0.08073        0.0000        0.0000 
           9.           80.       0.07400        0.0000        0.0000 
          10.           80.       0.06838        0.0000        0.0000 
          11.           80.       0.06359        0.0000        0.0000 
          12.           80.       0.05945        0.0000        0.0000 
          13.           80.       0.05583        0.0000        0.0000 
          14.           80.       0.05264        0.0000        0.0000 
          15.           80.       0.04980        0.0000        0.0000 
          16.           80.       0.04726        0.0000        0.0000 
          17.           80.       0.04497        0.0000        0.0000 
          18.           80.       0.04289        0.0000        0.0000 
          19.           80.       0.04100        0.0000        0.0000 
          20.           80.       0.03927        0.0000        0.0000 
          21.           80.       0.03768        0.0000        0.0000 
          22.           80.       0.03622        0.0000        0.0000 
          23.           80.       0.03486        0.0000        0.0000 
          24.           80.       0.03361        0.0000        0.0000 
          25.           80.       0.03244        0.0000        0.0000 
          26.           80.       0.03135        0.0000        0.0000 
          27.           80.       0.03033        0.0000        0.0000 
          28.           80.       0.02938        0.0000        0.0000 
          29.           80.       0.02848        0.0000        0.0000 
          30.           80.       0.02764        0.0000        0.0000 
          31.           80.       0.02685        0.0000        0.0000 
          32.           80.       0.02610        0.0000        0.0000 
          33.           80.       0.02539        0.0000        0.0000 
          34.           80.       0.02472        0.0000        0.0000 
          35.           80.       0.02409        0.0000        0.0000 
          36.           80.       0.02348        0.0000        0.0000 
          37.           80.       0.02291        0.0000        0.0000 
          38.           80.       0.02236        0.0000        0.0000 
          39.           80.       0.02184        0.0000        0.0000 
          40.           80.       0.02134        0.0000        0.0000 
          41.           80.       0.02087        0.0000        0.0000 
          42.           80.       0.02041        0.0000        0.0000 
          43.           80.       0.01998        0.0000        0.0000 
          44.           80.       0.01956        0.0000        0.0000 
          45.           80.       0.01916        0.0000        0.0000 
          46.           80.       0.01878        0.0000        0.0000 
          47.           80.       0.01841        0.0000        0.0000 
          48.           80.       0.01805        0.0000        0.0000 
          49.           80.       0.01771        0.0000        0.0000 
          50.           80.       0.01739        0.0000        0.0000 
           0.           90.       0.28347        0.0000        0.0000 
           1.           90.       0.23190        0.0000        0.0000 
           2.           90.       0.18825        0.0000        0.0000 
           3.           90.       0.15502        0.0000        0.0000 
           4.           90.       0.13063        0.0000        0.0000 
           5.           90.       0.11272        0.0000        0.0000 
           6.           90.       0.09931        0.0000        0.0000 
           7.           90.       0.08896        0.0000        0.0000 
           8.           90.       0.08073        0.0000        0.0000 
           9.           90.       0.07400        0.0000        0.0000 
          10.           90.       0.06838        0.0000        0.0000 
          11.           90.       0.06359        0.0000        0.0000 
          12.           90.       0.05945        0.0000        0.0000 
          13.           90.       0.05583        0.0000        0.0000 
          14.           90.       0.05264        0.0000        0.0000 
          15.           90.       0.04980        0.0000        0.0000 
          16.           90.       0.04726        0.0000        0.0000 
          17.           90.       0.04497        0.0000        0.0000 
          18.           90.       0.04289        0.0000        0.0000 
          19.           90.       0.04100        0.0000        0.0000 
          20.           90.       0.03927        0.0000        0.0000 
          21.           90.       0.03768        0.0000        0.0000 
          22.           90.       0.03622        0.0000        0.0000 
          23.           90.       0.03486        0.0000        0.0000 
