Actual,ANN_Predicted,SVR_Predicted,RF_Predicted,MLP_Predicted
3.86,3.010141,7.769650688,3.46296,3.449601599
4.6,3.0148482,5.481983143,4.75207,2.920910964
11.801,12.043173,16.24011798,12.10632,12.2981913
9.819,7.5684958,10.07518277,5.40893,7.006602202
1.451,1.22415,3.841191755,2.02612,1.236630617
10.51,10.026299,18.52188623,12.08312,11.15725741
1.589,2.3006217,4.281872503,2.16597,1.986327852
4.828,2.4642332,8.971636799,3.17859,4.58736934
1.277,1.5893865,3.352977516,1.60733,1.251653395
14.206,16.892633,17.30273882,13.95782,14.74848387
3.374,2.2223065,6.526782664,3.3445,2.956105487
6.104,7.2142797,12.4885401,5.58873,6.569913488
1.351,1.5711908,4.146220489,1.5401,1.768107302
0.448,0.2291356,2.323397943,0.47972,0.390971416
4.642,3.3318071,8.688014316,4.40536,4.27200072
2.074,2.5829763,5.109633165,2.12821,2.00366713
2.303,1.3589107,4.954126252,2.3893,1.84367771
2.804,2.2931805,6.012073178,2.62865,2.27481947
1.352,2.432375,4.184554643,1.34198,2.288773667
0.23,0.2291356,3.365509937,0.25386,-0.139503354
0.971,1.085617,1.547915995,0.77041,0.540285725
1.346,1.674862,2.86781823,1.71786,1.236368854
3.791,4.007852,7.398521587,3.28387,3.480495593
2.367,2.1992254,5.827670627,2.40862,2.346013717
1.39,1.493025,3.675971959,1.54893,1.140038738
1.174,0.8775178,2.876580477,1.55631,1.054292972
23.124,23.39223,19.83538667,24.43317,27.16935285
0.371,0.8497735,1.749348505,0.92291,0.321058353
1.266,0.8153306,3.878436411,1.18137,1.272716568
1.144,1.6063704,3.110457641,1.11688,0.887876544
6.747,4.513038,10.72853699,4.94306,5.073807009
0.982,1.4095312,3.382516984,0.88224,1.254901551
5.414,3.9563146,8.778013899,3.49972,3.833905047
2.473,2.6491961,5.845070843,2.6924,2.7214762
1.725,2.3190036,5.40510116,1.99853,2.443990045
3.078,3.421948,9.166594595,3.54482,3.450267408
10.56,10.33597,18.39320131,11.99425,11.1847528
