Actual,Predicted
3.86,3.46296
4.6,4.75207
11.801,12.10632
9.819,5.40893
1.451,2.02612
10.51,12.08312
1.589,2.16597
4.828,3.17859
1.277,1.60733
14.206,13.95782
3.374,3.3445
6.104,5.58873
1.351,1.5401
0.448,0.47972
4.642,4.40536
2.074,2.12821
2.303,2.3893
2.804,2.62865
1.352,1.34198
0.23,0.25386
0.971,0.77041
1.346,1.71786
3.791,3.28387
2.367,2.40862
1.39,1.54893
1.174,1.55631
23.124,24.43317
0.371,0.92291
1.266,1.18137
1.144,1.11688
6.747,4.94306
0.982,0.88224
5.414,3.49972
2.473,2.6924
1.725,1.99853
3.078,3.54482
10.56,11.99425
2.3,2.5225
2.578,2.8914
5.686,5.86297
21.966,19.71124
0.542,0.60387
2.249,2.25361
7.034,6.55486
0.652,0.72826
4.303,3.66185
2.4,2.00124
1.16,1.96885
0.568,0.48479
2.261,1.47859
4.672,5.14454
0.155,0.29833
1.449,1.49201
0.271,0.36088
0.378,1.07704
0.967,1.10406
2.612,2.0693
4.57,3.84936
0.621,0.93307
7.679,6.12136
0.378,0.47578
5.863,7.16587
1.591,1.51593
0.35,0.46014
2.022,1.95487
14.345,13.79249
12.07,11.86032
0.318,0.35207
5.561,4.8536
2.558,3.53801
4.146,4.54416
0.401,0.64386
1.74,1.83671
0.39,0.5656
3.694,3.3554
3.1,7.02924
3.161,4.90558
3.895,3.42697
1.234,1.35581
3.794,3.01317
21.906,22.71007
2.778,2.56981
2.7,3.064
2.562,2.15723
5.126,6.18207
2.667,2.47244
0.259,0.37938
2.789,2.69718
0.197,0.26281
1.494,2.51755
1.81,1.5256
5.674,4.99937
4.134,3.21251
0.476,0.60381
0.997,0.8447
15.206,11.75586
4.926,8.00864
1.443,1.32723
0.567,0.60062
3.4,2.56574
1.717,1.48283
2.418,2.23778
33.145,27.55972
1.397,2.01445
0.306,1.34307
2.293,2.32405
0.453,0.53766
1.099,1.03037
7.621,11.57396
0.322,0.49481
1.682,2.05825
7.408,7.76114
1.305,0.80475
1.99,2.63837
1.553,1.80464
2,2.5675
4.299,4.11977
5.564,6.03513
0.724,0.8447
2.956,2.1912
3.344,2.71449
1.426,1.6227
7.891,11.86041
0.85,2.169
1.816,2.22746
0.471,0.32645
1.568,2.27462
2.672,2.70703
0.893,1.15518
4.049,2.83173
1.409,2.52585
0.985,1.02636
0.279,0.31789
3.304,2.57399
2.276,2.58664
0.53,0.45956
10.293,11.79673
1.319,1.29276
4.127,5.93829
