Actual,Predicted
3.86,7.769650688
4.6,5.481983143
11.801,16.24011798
9.819,10.07518277
1.451,3.841191755
10.51,18.52188623
1.589,4.281872503
4.828,8.971636799
1.277,3.352977516
14.206,17.30273882
3.374,6.526782664
6.104,12.4885401
1.351,4.146220489
0.448,2.323397943
4.642,8.688014316
2.074,5.109633165
2.303,4.954126252
2.804,6.012073178
1.352,4.184554643
0.23,3.365509937
0.971,1.547915995
1.346,2.86781823
3.791,7.398521587
2.367,5.827670627
1.39,3.675971959
1.174,2.876580477
23.124,19.83538667
0.371,1.749348505
1.266,3.878436411
1.144,3.110457641
6.747,10.72853699
0.982,3.382516984
5.414,8.778013899
2.473,5.845070843
1.725,5.40510116
3.078,9.166594595
10.56,18.39320131
2.3,3.034852977
2.578,8.053405056
5.686,9.972466545
21.966,20.49562455
0.542,1.921929248
2.249,5.904468853
7.034,12.20015566
0.652,2.511558629
4.303,9.166951558
2.4,5.387266442
1.16,5.391417649
0.568,2.764022934
2.261,3.201981149
4.672,9.622893807
0.155,1.833958302
1.449,3.42906335
0.271,1.555433917
0.378,2.292308711
0.967,3.161062759
2.612,5.070889156
4.57,10.15667495
0.621,2.950504136
7.679,14.95047242
0.378,2.493463728
5.863,14.94648943
1.591,3.762287017
0.35,2.488440108
2.022,4.363732902
14.345,17.60840054
12.07,19.03900283
0.318,1.6189357
5.561,10.45284258
2.558,7.095697631
4.146,12.63716283
0.401,2.31653774
1.74,4.939067263
0.39,2.46904266
3.694,7.247006971
3.1,13.59367852
3.161,8.10808472
3.895,8.987708955
1.234,3.654510541
3.794,6.780829739
21.906,21.11321107
2.778,5.525537011
2.7,5.883842277
2.562,5.412249339
5.126,11.17225863
2.667,4.414450537
0.259,1.720991081
2.789,6.398035182
0.197,1.800632571
1.494,5.384306137
1.81,5.943897237
5.674,13.05360984
4.134,3.397035336
0.476,1.98078954
0.997,3.040901726
15.206,18.33955679
4.926,13.511589
1.443,4.084720487
0.567,2.434398928
3.4,4.11532221
1.717,3.866287728
2.418,4.644781137
33.145,20.94450032
1.397,3.763853757
0.306,2.210423385
2.293,5.384387121
0.453,2.35022769
1.099,3.057964454
7.621,16.1448236
0.322,2.404551207
1.682,5.045697214
7.408,13.56404151
1.305,3.319707168
1.99,6.168422215
1.553,4.909436053
2,6.29166282
4.299,11.50122954
5.564,12.06263059
0.724,3.135244418
2.956,6.618360083
3.344,6.571907527
1.426,4.262090633
7.891,18.37219079
0.85,5.499210106
1.816,7.280153785
0.471,1.781540973
1.568,5.982878417
2.672,6.122202625
0.893,2.8352672
4.049,3.792052623
1.409,5.19681914
0.985,2.83747058
0.279,1.559209179
3.304,6.47646827
2.276,7.346264621
0.53,2.237514545
10.293,17.69070464
1.319,5.326104607
4.127,8.751183757
