ID,Time,Xp,Yp,Depth,X-Windv,Y-Windv,Hsig,Period,PkDir,Dspr,Dir,RTpeak,Tm01,RTm01,RTpeak
1,20210715,121.789,31.9886,5.8601,-0.8678,7.641,0.0182,1.6134,95,31.5042,96.473,1.9414,1.6134,1.6134,1.9414
2,20210715.01,121.789,31.9886,5.8601,-1.4666,7.347,0.04319,1.0762,125,27.5147,113.345,1.9414,1.0762,1.0762,1.9414
3,20210715.02,121.789,31.9886,5.8601,-2.3858,7.2805,0.06747,1.0826,145,27.0819,122.347,1.4609,1.0826,1.0826,1.4609
4,20210715.03,121.789,31.9886,5.8601,-2.8999,7.6833,0.09348,1.1392,145,26.9828,128.212,1.6062,1.1392,1.1392,1.6062
5,20210715.04,121.789,31.9886,5.8601,-2.8051,7.9941,0.12048,1.2029,145,26.7906,132.951,1.7658,1.2029,1.2029,1.7658
6,20210715.05,121.789,31.9886,5.8601,-2.9282,8.0316,0.14861,1.2839,145,25.9434,137.657,1.7658,1.2839,1.2839,1.7658
7,20210715.06,121.789,31.9886,5.8601,-2.9852,7.984,0.17682,1.3984,145,24.9293,140.776,1.9414,1.3984,1.3984,1.9414
8,20210715.07,121.789,31.9886,5.8601,-2.8191,7.775,0.20554,1.527,145,23.6262,142.699,1.9414,1.527,1.527,1.9414
9,20210715.08,121.789,31.9886,5.8601,-2.7585,7.3794,0.23506,1.6464,145,22.2894,144.493,2.1344,1.6464,1.6464,2.1344
10,20210715.09,121.789,31.9886,5.8601,-3.0979,6.9442,0.26512,1.764,145,21.0291,146.405,2.3465,1.764,1.764,2.3465
11,20210715.1,121.789,31.9886,5.8601,-2.8424,5.9508,0.28312,1.8594,145,20.1337,147.424,2.5798,1.8594,1.8594,2.5798
12,20210715.11,121.789,31.9886,5.8601,-3.6835,6.6244,0.31341,1.9324,145,19.4911,148.07,2.8363,1.9324,1.9324,2.8363
13,20210715.12,121.789,31.9886,5.8601,-4.3212,7.3027,0.35411,2.0173,145,19.1953,148.864,2.8363,2.0173,2.0173,2.8363
14,20210715.13,121.789,31.9886,5.8601,-5.1437,7.6423,0.39939,2.1195,145,19.1413,149.779,2.8363,2.1195,2.1195,2.8363
15,20210715.14,121.789,31.9886,5.8601,-4.7764,7.8449,0.43406,2.2427,145,18.9776,150.148,3.1182,2.2427,2.2427,3.1182
16,20210715.15,121.789,31.9886,5.8601,-4.209,7.776,0.45441,2.3614,155,18.8525,150.248,3.1182,2.3614,2.3614,3.1182
17,20210715.16,121.789,31.9886,5.8601,-3.4187,7.8579,0.46322,2.4658,155,18.6367,150.34,3.1182,2.4658,2.4658,3.1182
18,20210715.17,121.789,31.9886,5.8601,-3.0464,7.7443,0.46853,2.545,155,18.5099,150.541,3.769,2.545,2.545,3.769
19,20210715.18,121.789,31.9886,5.8601,-2.8956,7.464,0.47233,2.6015,155,18.4693,150.818,3.769,2.6015,2.6015,3.769
20,20210715.19,121.789,31.9886,5.8601,-3.124,7.5313,0.4823,2.6264,145,18.4291,150.943,3.769,2.6264,2.6264,3.769
