Time,Xp,Yp,Depth,X-Windv,Y-Windv,Hsig,Period,PkDir,Dspr,Dir,RTpeak,Tm01,RTm01,RTpeak
20210715,121.778,31.9969,5.9072,-0.8581,7.5883,0.01806,1.6134,95,31.5042,96.445,1.9414,1.6134,1.6134,1.9414
20210715.01,121.778,31.9969,5.9072,-1.4415,7.2836,0.03879,1.0738,125,26.7037,114.698,1.9414,1.0738,1.0738,1.9414
20210715.02,121.778,31.9969,5.9072,-2.3733,7.2054,0.06078,1.0737,145,25.3688,124.396,1.4609,1.0737,1.0737,1.4609
20210715.03,121.778,31.9969,5.9072,-2.9099,7.6233,0.0859,1.1382,145,24.7884,130.167,1.6062,1.1382,1.1382,1.6062
20210715.04,121.778,31.9969,5.9072,-2.8085,7.9405,0.11198,1.1988,145,24.6739,134.321,1.7658,1.1988,1.1988,1.7658
20210715.05,121.778,31.9969,5.9072,-2.9315,7.9798,0.13948,1.2643,145,24.3166,138.093,1.9414,1.2643,1.2643,1.9414
20210715.06,121.778,31.9969,5.9072,-2.9986,7.9383,0.16696,1.3597,145,23.8536,140.937,1.9414,1.3597,1.3597,1.9414
20210715.07,121.778,31.9969,5.9072,-2.831,7.7368,0.19498,1.4722,145,23.0066,143.039,1.9414,1.4722,1.4722,1.9414
20210715.08,121.778,31.9969,5.9072,-2.7634,7.3447,0.22318,1.5982,145,21.7346,144.891,2.1344,1.5982,1.5982,2.1344
20210715.09,121.778,31.9969,5.9072,-3.0848,6.8973,0.25252,1.7183,145,20.5881,146.893,2.3465,1.7183,1.7183,2.3465
20210715.1,121.778,31.9969,5.9072,-2.8241,5.903,0.27364,1.8259,145,19.7949,148.46,2.5798,1.8259,1.8259,2.5798
20210715.11,121.778,31.9969,5.9072,-3.6711,6.5874,0.30273,1.9153,145,19.1025,149.053,2.5798,1.9153,1.9153,2.5798
20210715.12,121.778,31.9969,5.9072,-4.3003,7.2735,0.34239,2.0027,145,18.7082,149.504,2.8363,2.0027,2.0027,2.8363
20210715.13,121.778,31.9969,5.9072,-5.1232,7.607,0.38754,2.0976,145,18.6221,150.273,2.8363,2.0976,2.0976,2.8363
20210715.14,121.778,31.9969,5.9072,-4.7718,7.8142,0.4244,2.2204,155,18.6831,150.787,2.8363,2.2204,2.2204,2.8363
20210715.15,121.778,31.9969,5.9072,-4.1965,7.7471,0.44822,2.346,155,18.6964,151.266,3.1182,2.346,2.346,3.1182
20210715.16,121.778,31.9969,5.9072,-3.404,7.8363,0.46052,2.4556,155,18.5389,151.432,3.1182,2.4555,2.4555,3.1182
20210715.17,121.778,31.9969,5.9072,-3.0453,7.7215,0.4682,2.5484,155,18.3198,151.519,3.769,2.5484,2.5484,3.769
20210715.18,121.778,31.9969,5.9072,-2.9029,7.4434,0.47372,2.6226,155,18.1299,151.701,3.769,2.6226,2.6226,3.769
20210715.19,121.778,31.9969,5.9072,-3.1182,7.5125,0.48407,2.6549,145,18.0914,151.753,3.769,2.6549,2.6549,3.769
20210715.2,121.778,31.9969,5.9072,-3.1384,7.6835,0.49462,2.6779,145,18.1698,151.729,4.1436,2.6779,2.6779,4.1436
20210715.21,121.778,31.9969,5.9072,-3.0226,7.433,0.49765,2.7072,145,18.3885,151.808,4.1436,2.7072,2.7072,4.1436
20210715.22,121.778,31.9969,5.9072,-2.5223,6.5963,0.4835,2.7481,145,18.6189,152.107,3.769,2.7481,2.7481,3.769
20210715.23,121.778,31.9969,5.9072,-3.4718,6.1948,0.4733,2.7113,145,18.5746,152.003,3.769,2.7113,2.7113,3.769
20210716,121.778,31.9969,5.9072,-3.9178,6.0593,0.4686,2.6478,145,18.2667,151.715,3.769,2.6478,2.6478,3.769
20210716.01,121.778,31.9969,5.9072,-4.2118,6.3887,0.46886,2.5809,145,18.0921,151.361,3.769,2.5809,2.5809,3.769
20210716.02,121.778,31.9969,5.9072,-4.2005,6.4643,0.4686,2.5503,145,18.0306,151.115,3.769,2.5503,2.5503,3.769
20210716.03,121.778,31.9969,5.9072,-4.2976,6.2359,0.46442,2.5374,145,17.9271,151.005,3.4282,2.5374,2.5374,3.4282
20210716.04,121.778,31.9969,5.9072,-4.5136,5.9874,0.46283,2.5263,145,17.7661,150.979,3.4282,2.5263,2.5263,3.4282
20210716.05,121.778,31.9969,5.9072,-4.4762,5.9761,0.46258,2.5269,145,17.5983,151.062,3.4282,2.5269,2.5269,3.4282
20210716.06,121.778,31.9969,5.9072,-4.8188,5.6402,0.46387,2.5288,145,17.5403,151.322,3.4282,2.5288,2.5288,3.4282
20210716.07,121.778,31.9969,5.9072,-5.1906,5.5539,0.47164,2.5306,145,17.4668,151.67,3.4282,2.5306,2.5306,3.4282
20210716.08,121.778,31.9969,5.9072,-5.2389,5.7111,0.4791,2.5447,145,17.5611,152.087,3.4282,2.5447,2.5447,3.4282
20210716.09,121.778,31.9969,5.9072,-4.8553,5.714,0.4821,2.5753,145,17.6983,152.557,3.4282,2.5753,2.5753,3.4282
20210716.1,121.778,31.9969,5.9072,-3.3799,6.4017,0.46754,2.6177,145,18.075,152.816,3.4282,2.6177,2.6177,3.4282
20210716.11,121.778,31.9969,5.9072,-3.0376,5.3757,0.4432,2.6541,145,18.269,153.298,3.4282,2.6541,2.6541,3.4282
20210716.12,121.778,31.9969,5.9072,-3.4316,5.0365,0.4255,2.6283,145,18.3359,153.7,3.4282,2.6283,2.6283,3.4282
