Exper_x1,Pre_x1,Exper_x2,Pre_x2,Exper_x3,Pre_x3,Exper_x4,Pre_x4,Exper_x5,Pre_x5,Exper_x6,Pre_x6
0.08811,0.08903,0.09095,0.13857,0.08664,0.0839,0.10456,0.1792,0.17909,0.40907,0.08171,0.78542
0.10086,0.12131,0.10307,0.16671,0.10566,0.11399,0.08481,0.25641,0.20912,0.44981,0.13012,0.79599
0.10086,0.13361,0.10307,0.24366,0.1011,0.14201,0.10277,0.21294,0.26919,0.49862,0.15534,0.75438
0.12835,0.14091,0.13074,0.20412,0.13103,0.15274,0.13662,0.18894,0.10583,0.47326,0.18821,0.73903
0.14309,0.13092,0.13232,0.23191,0.16273,0.13786,0.15971,0.17433,0.09629,0.55013,0.20961,0.71823
0.18503,0.1486,0.16184,0.23191,0.1531,0.17003,0.18459,0.1646,0.08506,0.6735,0.21725,0.74415
0.15952,0.1682,0.16184,0.25079,0.17998,0.18318,0.13662,0.28075,0.12829,0.76343,0.15916,0.83487
0.16689,0.14591,0.15657,0.29247,0.19114,0.17453,0.15432,0.25432,0.18077,0.40638,0.15534,0.81406
0.19608,0.19049,0.17396,0.28107,0.21169,0.17661,0.16689,0.20111,0.21081,0.43982,0.19025,0.79599
0.21621,0.18319,0.18424,0.30209,0.21169,0.20463,0.20075,0.21781,0.26526,0.49862,0.20961,0.82702
0.21252,0.21317,0.19794,0.29034,0.21955,0.21985,0.21511,0.22998,0.24842,0.56281,0.24069,0.8243
0.21989,0.23546,0.21349,0.30886,0.24644,0.22192,0.21332,0.19624,0.21474,0.57088,0.24834,0.78303
0.24171,0.25007,0.21191,0.32988,0.27333,0.23057,0.21332,0.26858,0.19761,0.55512,0.25037,0.79087
0.25277,0.23277,0.21876,0.36479,0.25912,0.2413,0.24897,0.24945,0.1527,0.57588,0.26184,0.72607
0.28196,0.23277,0.24801,0.38118,0.24339,0.25652,0.24179,0.3051,0.08702,0.66312,0.36451,0.70527
0.26382,0.27005,0.24459,0.35802,0.26242,0.31048,0.2559,0.29536,0.13025,0.77343,0.31611,0.75711
0.2454,0.27005,0.26014,0.32774,0.30503,0.29111,0.26847,0.26615,0.23523,0.63737,0.30846,0.79087
0.26552,0.32232,0.27911,0.29247,0.30985,0.34058,0.26129,0.3364,0.25403,0.66812,0.33929,0.77246
0.30775,0.25775,0.30494,0.32525,0.30833,0.39039,0.27924,0.33396,0.25038,0.74037,0.35279,0.77246
0.30236,0.30003,0.32049,0.37192,0.31924,0.39454,0.30233,0.33396,0.27284,0.87374,0.36451,0.8011
0.3188,0.31464,0.26356,0.40933,0.32888,0.34058,0.32567,0.33396,0.34048,0.90218,0.33547,0.81679
0.30406,0.34692,0.26883,0.43712,0.33978,0.3558,0.30592,0.35587,0.30483,0.74806,0.33165,0.8659
0.33155,0.33693,0.30863,0.46775,0.34765,0.37068,0.3113,0.38474,0.30287,0.6758,0.30846,0.83998
0.33694,0.35691,0.33103,0.41396,0.35881,0.34508,0.35594,0.3437,0.30091,0.64006,0.27356,0.82975
0.35706,0.36921,0.36371,0.38581,0.43947,0.28246,0.40749,0.36526,0.41346,0.58856,0.26184,0.8659
0.36273,0.32232,0.36555,0.41396,0.42044,0.38382,0.45931,0.35344,0.31606,0.57088,0.24248,0.85294
0.35536,0.30733,0.34816,0.41146,0.37783,0.40977,0.44135,0.31936,0.36462,0.56819,0.37598,0.87886
0.41204,0.33693,0.33946,0.47452,0.35576,0.43779,0.34157,0.37013,0.34974,0.61431,0.4147,0.86829
0.44123,0.29504,0.35501,0.46526,0.44581,0.36203,0.36312,0.38231,0.36462,0.6758,0.40502,0.77007
0.46164,0.32463,0.33788,0.52582,0.46483,0.3686,0.33439,0.38961,0.3461,0.69387,0.42438,0.79599
0.47609,0.37421,0.4396,0.38581,0.47904,0.40527,0.34696,0.40908,0.32897,0.7838,0.44782,0.77246
0.45229,0.3942,0.46385,0.40933,0.45697,0.43121,0.3308,0.43552,0.37978,0.85836,0.41292,0.87613
0.42848,0.4015,0.3724,0.59815,0.41892,0.43779,0.38082,0.42578,0.36294,0.81224,0.4361,0.83998
0.41403,0.39189,0.38795,0.63092,0.41588,0.41184,0.42006,0.41117,0.33655,0.79418,0.45164,0.81134
0.37917,0.41149,0.41562,0.6099,0.35728,0.43329,0.41108,0.43552,0.423,0.78111,0.45164,0.81134
0.47241,0.4065,0.41905,0.52119,0.45849,0.46581,0.43263,0.44282,0.45865,0.77112,0.47279,0.82702
0.47241,0.42648,0.43275,0.54221,0.46635,0.45266,0.44494,0.41361,0.40981,0.71962,0.46133,0.83998
0.45597,0.43878,0.4483,0.49804,0.4902,0.48518,0.47367,0.39935,0.44911,0.68118,0.47279,0.85806
0.49621,0.43378,0.47413,0.46775,0.50745,0.5132,0.4611,0.35344,0.48672,0.67081,0.49215,0.87375
0.51265,0.50604,0.45858,0.50944,0.51074,0.53465,0.49317,0.44525,0.45865,0.64506,0.51355,0.89182
0.53476,0.48375,0.47254,0.52832,0.52647,0.52392,0.46828,0.46925,0.44181,0.65812,0.5291,0.88125
0.55658,0.47875,0.46912,0.60064,0.57872,0.51977,0.46828,0.48142,0.4811,0.6758,0.50387,0.8451
0.55318,0.51334,0.49679,0.58888,0.64366,0.50455,0.52882,0.5082,0.60488,0.66043,0.53496,0.8451
0.57699,0.52833,0.45014,0.64945,0.66572,0.54572,0.51625,0.5249,0.60124,0.69656,0.53088,0.81918
0.58776,0.48836,0.55371,0.51656,0.5914,0.55852,0.51112,0.55167,0.58243,0.7273,0.54464,0.81134
0.58776,0.48836,0.58639,0.50017,0.60561,0.56716,0.53062,0.55167,0.54678,0.74806,0.56196,0.81134
0.58776,0.45877,0.60378,0.55148,0.60561,0.56716,0.54318,0.57567,0.51872,0.76074,0.57546,0.8011
0.60788,0.43878,0.60378,0.55148,0.57872,0.58861,0.54677,0.51516,0.53191,0.7838,0.58515,0.76734
